ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.TrabajadorListaVuelos	trabajadorlistavuelos	1588721043584	 	3.3.1
REQUEST	773		ListMyFlights	1588721094125	1588721094126	OK	 
REQUEST	773		ListMyFlights Redirect 1	1588721094126	1588721094128	OK	 
REQUEST	2474		Home	1588721094125	1588721094128	OK	 
USER	TrabajadorListaVuelos	274	END	1588721050114	1588721094146
USER	TrabajadorListaVuelos	2475	START	1588721094146	1588721094146
REQUEST	774		ListMyFlights	1588721094146	1588721094147	OK	 
REQUEST	1274		AirlineLogged	1588721094146	1588721094147	OK	 
REQUEST	1274		AirlineLogged Redirect 1	1588721094148	1588721094149	OK	 
REQUEST	774		ListMyFlights Redirect 1	1588721094147	1588721094149	OK	 
REQUEST	2024		Login	1588721094146	1588721094149	OK	 
REQUEST	2475		Home	1588721094146	1588721094149	OK	 
USER	TrabajadorListaVuelos	275	END	1588721050135	1588721094156
REQUEST	775		ListMyFlights	1588721094156	1588721094157	OK	 
REQUEST	1275		AirlineLogged	1588721094156	1588721094157	OK	 
REQUEST	775		ListMyFlights Redirect 1	1588721094158	1588721094159	OK	 
REQUEST	1275		AirlineLogged Redirect 1	1588721094158	1588721094159	OK	 
USER	TrabajadorListaVuelos	2476	START	1588721094166	1588721094166
REQUEST	2025		Login	1588721094166	1588721094167	OK	 
REQUEST	2476		Home	1588721094166	1588721094169	OK	 
REQUEST	2026		Login	1588721094177	1588721094178	OK	 
USER	TrabajadorListaVuelos	276	END	1588721050156	1588721094182
USER	TrabajadorListaVuelos	2477	START	1588721094182	1588721094182
REQUEST	1276		AirlineLogged	1588721094182	1588721094183	OK	 
REQUEST	776		ListMyFlights	1588721094182	1588721094184	OK	 
REQUEST	1276		AirlineLogged Redirect 1	1588721094183	1588721094184	OK	 
REQUEST	2477		Home	1588721094182	1588721094185	OK	 
REQUEST	776		ListMyFlights Redirect 1	1588721094184	1588721094186	OK	 
USER	TrabajadorListaVuelos	2478	START	1588721094203	1588721094203
REQUEST	2027		Login	1588721094203	1588721094204	OK	 
REQUEST	777		ListMyFlights	1588721094203	1588721094204	OK	 
REQUEST	1277		AirlineLogged	1588721094203	1588721094205	OK	 
REQUEST	777		ListMyFlights Redirect 1	1588721094205	1588721094205	OK	 
REQUEST	2478		Home	1588721094204	1588721094206	OK	 
REQUEST	1277		AirlineLogged Redirect 1	1588721094205	1588721094207	OK	 
USER	TrabajadorListaVuelos	277	END	1588721050176	1588721094214
USER	TrabajadorListaVuelos	2479	START	1588721094225	1588721094225
REQUEST	2028		Login	1588721094225	1588721094226	OK	 
REQUEST	778		ListMyFlights	1588721094225	1588721094226	OK	 
REQUEST	1278		AirlineLogged	1588721094225	1588721094227	OK	 
REQUEST	778		ListMyFlights Redirect 1	1588721094226	1588721094227	OK	 
REQUEST	2479		Home	1588721094225	1588721094228	OK	 
REQUEST	1278		AirlineLogged Redirect 1	1588721094227	1588721094229	OK	 
USER	TrabajadorListaVuelos	278	END	1588721050192	1588721094235
USER	TrabajadorListaVuelos	279	END	1588721050213	1588721094246
USER	TrabajadorListaVuelos	2480	START	1588721094246	1588721094246
REQUEST	2029		Login	1588721094246	1588721094247	OK	 
REQUEST	779		ListMyFlights	1588721094246	1588721094247	OK	 
REQUEST	1279		AirlineLogged	1588721094246	1588721094248	OK	 
REQUEST	779		ListMyFlights Redirect 1	1588721094247	1588721094249	OK	 
REQUEST	2480		Home	1588721094246	1588721094249	OK	 
REQUEST	1279		AirlineLogged Redirect 1	1588721094248	1588721094249	OK	 
USER	TrabajadorListaVuelos	280	END	1588721050233	1588721094256
REQUEST	1280		AirlineLogged	1588721094256	1588721094257	OK	 
REQUEST	780		ListMyFlights	1588721094256	1588721094258	OK	 
REQUEST	1280		AirlineLogged Redirect 1	1588721094257	1588721094258	OK	 
REQUEST	780		ListMyFlights Redirect 1	1588721094258	1588721094259	OK	 
USER	TrabajadorListaVuelos	2481	START	1588721094266	1588721094266
REQUEST	2030		Login	1588721094266	1588721094267	OK	 
REQUEST	2481		Home	1588721094266	1588721094269	OK	 
REQUEST	2031		Login	1588721094276	1588721094277	OK	 
REQUEST	1281		AirlineLogged	1588721094276	1588721094278	OK	 
REQUEST	1281		AirlineLogged Redirect 1	1588721094278	1588721094279	OK	 
USER	TrabajadorListaVuelos	281	END	1588721050254	1588721094288
USER	TrabajadorListaVuelos	2482	START	1588721094287	1588721094287
REQUEST	781		ListMyFlights	1588721094287	1588721094289	OK	 
REQUEST	781		ListMyFlights Redirect 1	1588721094289	1588721094290	OK	 
REQUEST	2482		Home	1588721094288	1588721094290	OK	 
REQUEST	1282		AirlineLogged	1588721094292	1588721094293	OK	 
REQUEST	1282		AirlineLogged Redirect 1	1588721094293	1588721094293	OK	 
USER	TrabajadorListaVuelos	282	END	1588721050275	1588721094302
USER	TrabajadorListaVuelos	2483	START	1588721094302	1588721094302
REQUEST	2032		Login	1588721094302	1588721094303	OK	 
REQUEST	782		ListMyFlights	1588721094302	1588721094303	OK	 
REQUEST	782		ListMyFlights Redirect 1	1588721094303	1588721094304	OK	 
REQUEST	2483		Home	1588721094302	1588721094305	OK	 
USER	TrabajadorListaVuelos	283	END	1588721050296	1588721094323
USER	TrabajadorListaVuelos	2484	START	1588721094323	1588721094323
REQUEST	2033		Login	1588721094323	1588721094324	OK	 
REQUEST	1283		AirlineLogged	1588721094323	1588721094325	OK	 
REQUEST	783		ListMyFlights	1588721094323	1588721094325	OK	 
REQUEST	783		ListMyFlights Redirect 1	1588721094325	1588721094326	OK	 
REQUEST	1283		AirlineLogged Redirect 1	1588721094325	1588721094326	OK	 
REQUEST	2484		Home	1588721094323	1588721094326	OK	 
USER	TrabajadorListaVuelos	284	END	1588721050317	1588721094334
REQUEST	784		ListMyFlights	1588721094333	1588721094334	OK	 
REQUEST	1284		AirlineLogged	1588721094333	1588721094334	OK	 
REQUEST	1284		AirlineLogged Redirect 1	1588721094334	1588721094335	OK	 
REQUEST	784		ListMyFlights Redirect 1	1588721094334	1588721094335	OK	 
USER	TrabajadorListaVuelos	2485	START	1588721094345	1588721094345
REQUEST	2034		Login	1588721094345	1588721094345	OK	 
REQUEST	2485		Home	1588721094345	1588721094347	OK	 
REQUEST	1285		AirlineLogged	1588721094355	1588721094356	OK	 
REQUEST	1285		AirlineLogged Redirect 1	1588721094356	1588721094357	OK	 
USER	TrabajadorListaVuelos	285	END	1588721050332	1588721094366
USER	TrabajadorListaVuelos	2486	START	1588721094366	1588721094366
REQUEST	2035		Login	1588721094366	1588721094366	OK	 
REQUEST	785		ListMyFlights	1588721094366	1588721094366	OK	 
REQUEST	785		ListMyFlights Redirect 1	1588721094366	1588721094368	OK	 
REQUEST	2486		Home	1588721094366	1588721094368	OK	 
REQUEST	2036		Login	1588721094376	1588721094377	OK	 
REQUEST	786		ListMyFlights	1588721094376	1588721094378	OK	 
REQUEST	1286		AirlineLogged	1588721094376	1588721094378	OK	 
REQUEST	786		ListMyFlights Redirect 1	1588721094378	1588721094379	OK	 
REQUEST	1286		AirlineLogged Redirect 1	1588721094378	1588721094380	OK	 
USER	TrabajadorListaVuelos	286	END	1588721050353	1588721094388
USER	TrabajadorListaVuelos	2487	START	1588721094387	1588721094387
REQUEST	2487		Home	1588721094388	1588721094390	OK	 
REQUEST	787		ListMyFlights	1588721094392	1588721094393	OK	 
REQUEST	1287		AirlineLogged	1588721094392	1588721094393	OK	 
REQUEST	787		ListMyFlights Redirect 1	1588721094393	1588721094393	OK	 
REQUEST	1287		AirlineLogged Redirect 1	1588721094393	1588721094394	OK	 
USER	TrabajadorListaVuelos	287	END	1588721050375	1588721094402
USER	TrabajadorListaVuelos	2488	START	1588721094402	1588721094402
REQUEST	2037		Login	1588721094402	1588721094403	OK	 
REQUEST	788		ListMyFlights	1588721094402	1588721094403	OK	 
REQUEST	788		ListMyFlights Redirect 1	1588721094403	1588721094404	OK	 
REQUEST	2488		Home	1588721094402	1588721094405	OK	 
USER	TrabajadorListaVuelos	2489	START	1588721094422	1588721094422
REQUEST	2038		Login	1588721094422	1588721094423	OK	 
REQUEST	1288		AirlineLogged	1588721094422	1588721094424	OK	 
REQUEST	1288		AirlineLogged Redirect 1	1588721094424	1588721094424	OK	 
REQUEST	2489		Home	1588721094422	1588721094424	OK	 
USER	TrabajadorListaVuelos	288	END	1588721050397	1588721094432
REQUEST	1289		AirlineLogged	1588721094432	1588721094433	OK	 
REQUEST	1289		AirlineLogged Redirect 1	1588721094433	1588721094434	OK	 
USER	TrabajadorListaVuelos	289	END	1588721050412	1588721094443
USER	TrabajadorListaVuelos	2490	START	1588721094443	1588721094443
REQUEST	2039		Login	1588721094443	1588721094444	OK	 
REQUEST	789		ListMyFlights	1588721094443	1588721094444	OK	 
REQUEST	789		ListMyFlights Redirect 1	1588721094444	1588721094445	OK	 
REQUEST	2490		Home	1588721094443	1588721094446	OK	 
REQUEST	1290		AirlineLogged	1588721094454	1588721094454	OK	 
REQUEST	1290		AirlineLogged Redirect 1	1588721094455	1588721094455	OK	 
USER	TrabajadorListaVuelos	290	END	1588721050434	1588721094465
USER	TrabajadorListaVuelos	2491	START	1588721094465	1588721094465
REQUEST	2040		Login	1588721094465	1588721094465	OK	 
REQUEST	790		ListMyFlights	1588721094465	1588721094466	OK	 
REQUEST	790		ListMyFlights Redirect 1	1588721094466	1588721094467	OK	 
REQUEST	2491		Home	1588721094465	1588721094467	OK	 
REQUEST	1291		AirlineLogged	1588721094475	1588721094476	OK	 
REQUEST	1291		AirlineLogged Redirect 1	1588721094476	1588721094477	OK	 
USER	TrabajadorListaVuelos	291	END	1588721050456	1588721094486
USER	TrabajadorListaVuelos	2492	START	1588721094486	1588721094486
REQUEST	2041		Login	1588721094486	1588721094487	OK	 
REQUEST	791		ListMyFlights	1588721094486	1588721094487	OK	 
REQUEST	791		ListMyFlights Redirect 1	1588721094487	1588721094488	OK	 
REQUEST	2492		Home	1588721094486	1588721094489	OK	 
USER	TrabajadorListaVuelos	292	END	1588721050476	1588721094496
REQUEST	2042		Login	1588721094496	1588721094497	OK	 
USER	TrabajadorListaVuelos	2493	START	1588721094507	1588721094507
REQUEST	1292		AirlineLogged	1588721094507	1588721094508	OK	 
REQUEST	792		ListMyFlights	1588721094507	1588721094509	OK	 
REQUEST	1292		AirlineLogged Redirect 1	1588721094508	1588721094509	OK	 
REQUEST	2493		Home	1588721094507	1588721094510	OK	 
REQUEST	792		ListMyFlights Redirect 1	1588721094509	1588721094511	OK	 
USER	TrabajadorListaVuelos	293	END	1588721050492	1588721094522
USER	TrabajadorListaVuelos	2494	START	1588721094522	1588721094522
REQUEST	793		ListMyFlights	1588721094522	1588721094523	OK	 
REQUEST	1293		AirlineLogged	1588721094522	1588721094523	OK	 
REQUEST	793		ListMyFlights Redirect 1	1588721094523	1588721094524	OK	 
REQUEST	1293		AirlineLogged Redirect 1	1588721094523	1588721094524	OK	 
REQUEST	2043		Login	1588721094522	1588721094524	OK	 
REQUEST	2494		Home	1588721094522	1588721094525	OK	 
REQUEST	1294		AirlineLogged	1588721094532	1588721094533	OK	 
REQUEST	1294		AirlineLogged Redirect 1	1588721094533	1588721094534	OK	 
USER	TrabajadorListaVuelos	294	END	1588721050512	1588721094543
USER	TrabajadorListaVuelos	2495	START	1588721094543	1588721094543
REQUEST	2044		Login	1588721094543	1588721094544	OK	 
REQUEST	794		ListMyFlights	1588721094543	1588721094545	OK	 
REQUEST	794		ListMyFlights Redirect 1	1588721094545	1588721094546	OK	 
REQUEST	2495		Home	1588721094544	1588721094546	OK	 
USER	TrabajadorListaVuelos	295	END	1588721050534	1588721094554
REQUEST	795		ListMyFlights	1588721094554	1588721094556	OK	 
REQUEST	1295		AirlineLogged	1588721094554	1588721094556	OK	 
REQUEST	795		ListMyFlights Redirect 1	1588721094556	1588721094557	OK	 
REQUEST	1295		AirlineLogged Redirect 1	1588721094556	1588721094557	OK	 
USER	TrabajadorListaVuelos	2496	START	1588721094565	1588721094565
REQUEST	2045		Login	1588721094565	1588721094566	OK	 
REQUEST	2496		Home	1588721094565	1588721094568	OK	 
REQUEST	1296		AirlineLogged	1588721094576	1588721094577	OK	 
REQUEST	1296		AirlineLogged Redirect 1	1588721094577	1588721094578	OK	 
USER	TrabajadorListaVuelos	296	END	1588721050555	1588721094587
USER	TrabajadorListaVuelos	2497	START	1588721094587	1588721094587
REQUEST	2046		Login	1588721094587	1588721094588	OK	 
REQUEST	796		ListMyFlights	1588721094587	1588721094588	OK	 
REQUEST	796		ListMyFlights Redirect 1	1588721094588	1588721094590	OK	 
REQUEST	2497		Home	1588721094587	1588721094591	OK	 
REQUEST	2047		Login	1588721094592	1588721094592	OK	 
USER	TrabajadorListaVuelos	297	END	1588721050577	1588721094602
USER	TrabajadorListaVuelos	2498	START	1588721094602	1588721094602
REQUEST	797		ListMyFlights	1588721094602	1588721094603	OK	 
REQUEST	1297		AirlineLogged	1588721094602	1588721094603	OK	 
REQUEST	1297		AirlineLogged Redirect 1	1588721094604	1588721094604	OK	 
REQUEST	797		ListMyFlights Redirect 1	1588721094604	1588721094604	OK	 
REQUEST	2498		Home	1588721094602	1588721094605	OK	 
USER	TrabajadorListaVuelos	298	END	1588721050592	1588721094613
USER	TrabajadorListaVuelos	2499	START	1588721094624	1588721094624
REQUEST	2048		Login	1588721094624	1588721094625	OK	 
REQUEST	1298		AirlineLogged	1588721094624	1588721094625	OK	 
REQUEST	798		ListMyFlights	1588721094624	1588721094625	OK	 
REQUEST	798		ListMyFlights Redirect 1	1588721094625	1588721094626	OK	 
REQUEST	1298		AirlineLogged Redirect 1	1588721094625	1588721094626	OK	 
REQUEST	2499		Home	1588721094624	1588721094627	OK	 
USER	TrabajadorListaVuelos	299	END	1588721050612	1588721094635
REQUEST	799		ListMyFlights	1588721094635	1588721094636	OK	 
REQUEST	1299		AirlineLogged	1588721094635	1588721094636	OK	 
REQUEST	1299		AirlineLogged Redirect 1	1588721094636	1588721094638	OK	 
REQUEST	799		ListMyFlights Redirect 1	1588721094636	1588721094638	OK	 
USER	TrabajadorListaVuelos	2500	START	1588721094646	1588721094646
REQUEST	2049		Login	1588721094646	1588721094647	OK	 
REQUEST	2500		Home	1588721094646	1588721094648	OK	 
REQUEST	1300		AirlineLogged	1588721094656	1588721094657	OK	 
REQUEST	1300		AirlineLogged Redirect 1	1588721094657	1588721094659	OK	 
USER	TrabajadorListaVuelos	2501	START	1588721094666	1588721094666
USER	TrabajadorListaVuelos	300	END	1588721050633	1588721094666
USER	TrabajadorListaVuelos	2502	START	1588721094667	1588721094667
REQUEST	2050		Login	1588721094666	1588721094667	OK	 
REQUEST	800		ListMyFlights	1588721094666	1588721094667	OK	 
REQUEST	800		ListMyFlights Redirect 1	1588721094668	1588721094669	OK	 
REQUEST	2501		Home	1588721094667	1588721094669	OK	 
REQUEST	2502		Home	1588721094667	1588721094669	OK	 
USER	TrabajadorListaVuelos	301	END	1588721050653	1588721094688
REQUEST	2051		Login	1588721094687	1588721094688	OK	 
REQUEST	1301		AirlineLogged	1588721094687	1588721094688	OK	 
REQUEST	801		ListMyFlights	1588721094687	1588721094688	OK	 
REQUEST	2052		Login	1588721094687	1588721094689	OK	 
REQUEST	1302		AirlineLogged	1588721094687	1588721094689	OK	 
REQUEST	801		ListMyFlights Redirect 1	1588721094689	1588721094690	OK	 
REQUEST	1302		AirlineLogged Redirect 1	1588721094689	1588721094690	OK	 
REQUEST	1301		AirlineLogged Redirect 1	1588721094689	1588721094690	OK	 
USER	TrabajadorListaVuelos	2503	START	1588721094692	1588721094692
REQUEST	2503		Home	1588721094692	1588721094694	OK	 
USER	TrabajadorListaVuelos	302	END	1588721050685	1588721094702
REQUEST	2053		Login	1588721094702	1588721094703	OK	 
REQUEST	802		ListMyFlights	1588721094702	1588721094703	OK	 
REQUEST	802		ListMyFlights Redirect 1	1588721094703	1588721094704	OK	 
USER	TrabajadorListaVuelos	2504	START	1588721094712	1588721094712
REQUEST	1303		AirlineLogged	1588721094712	1588721094713	OK	 
REQUEST	1303		AirlineLogged Redirect 1	1588721094713	1588721094714	OK	 
REQUEST	2504		Home	1588721094712	1588721094715	OK	 
USER	TrabajadorListaVuelos	303	END	1588721050706	1588721094733
USER	TrabajadorListaVuelos	2505	START	1588721094733	1588721094733
REQUEST	2054		Login	1588721094733	1588721094734	OK	 
REQUEST	1304		AirlineLogged	1588721094733	1588721094734	OK	 
REQUEST	803		ListMyFlights	1588721094733	1588721094734	OK	 
REQUEST	803		ListMyFlights Redirect 1	1588721094734	1588721094736	OK	 
REQUEST	1304		AirlineLogged Redirect 1	1588721094734	1588721094736	OK	 
REQUEST	2505		Home	1588721094733	1588721094736	OK	 
USER	TrabajadorListaVuelos	304	END	1588721050722	1588721094755
USER	TrabajadorListaVuelos	2506	START	1588721094755	1588721094755
REQUEST	2055		Login	1588721094755	1588721094756	OK	 
REQUEST	1305		AirlineLogged	1588721094755	1588721094756	OK	 
REQUEST	804		ListMyFlights	1588721094755	1588721094756	OK	 
REQUEST	1305		AirlineLogged Redirect 1	1588721094756	1588721094757	OK	 
REQUEST	804		ListMyFlights Redirect 1	1588721094756	1588721094757	OK	 
REQUEST	2506		Home	1588721094755	1588721094758	OK	 
REQUEST	1306		AirlineLogged	1588721094765	1588721094766	OK	 
REQUEST	1306		AirlineLogged Redirect 1	1588721094766	1588721094767	OK	 
USER	TrabajadorListaVuelos	305	END	1588721050743	1588721094776
USER	TrabajadorListaVuelos	2507	START	1588721094776	1588721094776
REQUEST	2056		Login	1588721094776	1588721094777	OK	 
REQUEST	805		ListMyFlights	1588721094776	1588721094777	OK	 
REQUEST	805		ListMyFlights Redirect 1	1588721094777	1588721094778	OK	 
REQUEST	2507		Home	1588721094776	1588721094779	OK	 
USER	TrabajadorListaVuelos	306	END	1588721050764	1588721094787
REQUEST	806		ListMyFlights	1588721094787	1588721094788	OK	 
REQUEST	806		ListMyFlights Redirect 1	1588721094788	1588721094790	OK	 
USER	TrabajadorListaVuelos	2508	START	1588721094792	1588721094792
REQUEST	2057		Login	1588721094792	1588721094793	OK	 
REQUEST	1307		AirlineLogged	1588721094792	1588721094793	OK	 
REQUEST	1307		AirlineLogged Redirect 1	1588721094793	1588721094794	OK	 
REQUEST	2508		Home	1588721094792	1588721094794	OK	 
REQUEST	1308		AirlineLogged	1588721094802	1588721094803	OK	 
REQUEST	1308		AirlineLogged Redirect 1	1588721094803	1588721094804	OK	 
USER	TrabajadorListaVuelos	307	END	1588721050785	1588721094813
USER	TrabajadorListaVuelos	2509	START	1588721094813	1588721094813
REQUEST	2058		Login	1588721094813	1588721094814	OK	 
REQUEST	807		ListMyFlights	1588721094813	1588721094814	OK	 
REQUEST	807		ListMyFlights Redirect 1	1588721094814	1588721094815	OK	 
REQUEST	2509		Home	1588721094813	1588721094816	OK	 
REQUEST	2059		Login	1588721094824	1588721094825	OK	 
REQUEST	1309		AirlineLogged	1588721094824	1588721094825	OK	 
REQUEST	1309		AirlineLogged Redirect 1	1588721094825	1588721094826	OK	 
USER	TrabajadorListaVuelos	308	END	1588721050806	1588721094835
USER	TrabajadorListaVuelos	2510	START	1588721094835	1588721094835
REQUEST	1310		AirlineLogged	1588721094835	1588721094836	OK	 
REQUEST	808		ListMyFlights	1588721094835	1588721094836	OK	 
REQUEST	1310		AirlineLogged Redirect 1	1588721094836	1588721094837	OK	 
REQUEST	808		ListMyFlights Redirect 1	1588721094836	1588721094837	OK	 
REQUEST	2510		Home	1588721094835	1588721094838	OK	 
REQUEST	809		ListMyFlights	1588721094846	1588721094847	OK	 
REQUEST	809		ListMyFlights Redirect 1	1588721094847	1588721094847	OK	 
USER	TrabajadorListaVuelos	309	END	1588721050827	1588721094857
USER	TrabajadorListaVuelos	2511	START	1588721094857	1588721094857
REQUEST	2060		Login	1588721094857	1588721094858	OK	 
REQUEST	2511		Home	1588721094857	1588721094860	OK	 
USER	TrabajadorListaVuelos	310	END	1588721050842	1588721094868
USER	TrabajadorListaVuelos	2512	START	1588721094872	1588721094872
REQUEST	2061		Login	1588721094872	1588721094873	OK	 
REQUEST	810		ListMyFlights	1588721094872	1588721094873	OK	 
REQUEST	1311		AirlineLogged	1588721094872	1588721094874	OK	 
REQUEST	810		ListMyFlights Redirect 1	1588721094873	1588721094874	OK	 
REQUEST	2512		Home	1588721094872	1588721094875	OK	 
REQUEST	1311		AirlineLogged Redirect 1	1588721094874	1588721094875	OK	 
USER	TrabajadorListaVuelos	311	END	1588721050862	1588721094893
USER	TrabajadorListaVuelos	2513	START	1588721094893	1588721094893
REQUEST	811		ListMyFlights	1588721094893	1588721094894	OK	 
REQUEST	1312		AirlineLogged	1588721094893	1588721094894	OK	 
REQUEST	2062		Login	1588721094893	1588721094894	OK	 
REQUEST	1312		AirlineLogged Redirect 1	1588721094894	1588721094895	OK	 
REQUEST	811		ListMyFlights Redirect 1	1588721094894	1588721094895	OK	 
REQUEST	2513		Home	1588721094893	1588721094896	OK	 
REQUEST	1313		AirlineLogged	1588721094904	1588721094905	OK	 
REQUEST	1313		AirlineLogged Redirect 1	1588721094905	1588721094906	OK	 
USER	TrabajadorListaVuelos	312	END	1588721050883	1588721094915
USER	TrabajadorListaVuelos	2514	START	1588721094915	1588721094915
REQUEST	2063		Login	1588721094915	1588721094916	OK	 
REQUEST	812		ListMyFlights	1588721094915	1588721094916	OK	 
REQUEST	812		ListMyFlights Redirect 1	1588721094916	1588721094917	OK	 
REQUEST	1314		AirlineLogged	1588721094915	1588721094917	OK	 
REQUEST	2514		Home	1588721094915	1588721094918	OK	 
REQUEST	1314		AirlineLogged Redirect 1	1588721094917	1588721094919	OK	 
USER	TrabajadorListaVuelos	313	END	1588721050904	1588721094926
REQUEST	813		ListMyFlights	1588721094926	1588721094927	OK	 
REQUEST	813		ListMyFlights Redirect 1	1588721094927	1588721094928	OK	 
USER	TrabajadorListaVuelos	2515	START	1588721094937	1588721094937
REQUEST	2064		Login	1588721094937	1588721094937	OK	 
REQUEST	2515		Home	1588721094937	1588721094940	OK	 
USER	TrabajadorListaVuelos	314	END	1588721050926	1588721094952
USER	TrabajadorListaVuelos	2516	START	1588721094952	1588721094952
REQUEST	2065		Login	1588721094952	1588721094953	OK	 
REQUEST	814		ListMyFlights	1588721094952	1588721094953	OK	 
REQUEST	1315		AirlineLogged	1588721094952	1588721094953	OK	 
REQUEST	1315		AirlineLogged Redirect 1	1588721094953	1588721094954	OK	 
REQUEST	814		ListMyFlights Redirect 1	1588721094953	1588721094954	OK	 
REQUEST	2516		Home	1588721094952	1588721094955	OK	 
USER	TrabajadorListaVuelos	315	END	1588721050947	1588721094973
USER	TrabajadorListaVuelos	2517	START	1588721094973	1588721094973
REQUEST	2066		Login	1588721094973	1588721094974	OK	 
REQUEST	815		ListMyFlights	1588721094973	1588721094975	OK	 
REQUEST	1316		AirlineLogged	1588721094973	1588721094975	OK	 
REQUEST	815		ListMyFlights Redirect 1	1588721094975	1588721094976	OK	 
REQUEST	1316		AirlineLogged Redirect 1	1588721094975	1588721094976	OK	 
REQUEST	2517		Home	1588721094974	1588721094977	OK	 
REQUEST	2067		Login	1588721094983	1588721094984	OK	 
REQUEST	1317		AirlineLogged	1588721094983	1588721094984	OK	 
REQUEST	1317		AirlineLogged Redirect 1	1588721094984	1588721094985	OK	 
USER	TrabajadorListaVuelos	316	END	1588721050962	1588721094994
USER	TrabajadorListaVuelos	2518	START	1588721094994	1588721094994
REQUEST	816		ListMyFlights	1588721094994	1588721094995	OK	 
REQUEST	817		ListMyFlights	1588721094994	1588721094996	OK	 
REQUEST	816		ListMyFlights Redirect 1	1588721094995	1588721094996	OK	 
REQUEST	817		ListMyFlights Redirect 1	1588721094996	1588721094997	OK	 
REQUEST	2518		Home	1588721094994	1588721094997	OK	 
REQUEST	1318		AirlineLogged	1588721095004	1588721095005	OK	 
REQUEST	1318		AirlineLogged Redirect 1	1588721095005	1588721095006	OK	 
USER	TrabajadorListaVuelos	317	END	1588721050983	1588721095015
USER	TrabajadorListaVuelos	2519	START	1588721095015	1588721095015
REQUEST	2068		Login	1588721095015	1588721095016	OK	 
REQUEST	1319		AirlineLogged	1588721095015	1588721095016	OK	 
REQUEST	1319		AirlineLogged Redirect 1	1588721095016	1588721095017	OK	 
REQUEST	2519		Home	1588721095015	1588721095017	OK	 
USER	TrabajadorListaVuelos	318	END	1588721051003	1588721095035
USER	TrabajadorListaVuelos	2520	START	1588721095035	1588721095035
REQUEST	2069		Login	1588721095035	1588721095036	OK	 
REQUEST	818		ListMyFlights	1588721095035	1588721095036	OK	 
REQUEST	818		ListMyFlights Redirect 1	1588721095036	1588721095037	OK	 
REQUEST	2520		Home	1588721095035	1588721095038	OK	 
USER	TrabajadorListaVuelos	319	END	1588721051025	1588721095057
USER	TrabajadorListaVuelos	2521	START	1588721095057	1588721095057
REQUEST	2070		Login	1588721095057	1588721095058	OK	 
REQUEST	1320		AirlineLogged	1588721095057	1588721095058	OK	 
REQUEST	820		ListMyFlights	1588721095057	1588721095058	OK	 
REQUEST	819		ListMyFlights	1588721095057	1588721095059	OK	 
REQUEST	1320		AirlineLogged Redirect 1	1588721095058	1588721095060	OK	 
REQUEST	2521		Home	1588721095057	1588721095060	OK	 
REQUEST	820		ListMyFlights Redirect 1	1588721095058	1588721095061	OK	 
REQUEST	819		ListMyFlights Redirect 1	1588721095059	1588721095061	OK	 
USER	TrabajadorListaVuelos	320	END	1588721051047	1588721095062
USER	TrabajadorListaVuelos	2522	START	1588721095073	1588721095073
REQUEST	2071		Login	1588721095073	1588721095074	OK	 
REQUEST	1321		AirlineLogged	1588721095073	1588721095075	OK	 
REQUEST	2522		Home	1588721095073	1588721095075	OK	 
REQUEST	1321		AirlineLogged Redirect 1	1588721095075	1588721095076	OK	 
REQUEST	2072		Login	1588721095083	1588721095084	OK	 
USER	TrabajadorListaVuelos	321	END	1588721051062	1588721095095
USER	TrabajadorListaVuelos	2523	START	1588721095094	1588721095094
REQUEST	1322		AirlineLogged	1588721095094	1588721095095	OK	 
REQUEST	821		ListMyFlights	1588721095094	1588721095095	OK	 
REQUEST	821		ListMyFlights Redirect 1	1588721095095	1588721095097	OK	 
REQUEST	1322		AirlineLogged Redirect 1	1588721095095	1588721095097	OK	 
REQUEST	2523		Home	1588721095095	1588721095098	OK	 
REQUEST	1323		AirlineLogged	1588721095105	1588721095106	OK	 
REQUEST	1323		AirlineLogged Redirect 1	1588721095106	1588721095107	OK	 
USER	TrabajadorListaVuelos	322	END	1588721051083	1588721095116
USER	TrabajadorListaVuelos	2524	START	1588721095116	1588721095116
REQUEST	2073		Login	1588721095116	1588721095117	OK	 
REQUEST	822		ListMyFlights	1588721095116	1588721095117	OK	 
REQUEST	1324		AirlineLogged	1588721095116	1588721095117	OK	 
REQUEST	822		ListMyFlights Redirect 1	1588721095117	1588721095118	OK	 
REQUEST	1324		AirlineLogged Redirect 1	1588721095117	1588721095118	OK	 
REQUEST	2524		Home	1588721095116	1588721095119	OK	 
REQUEST	823		ListMyFlights	1588721095126	1588721095127	OK	 
REQUEST	823		ListMyFlights Redirect 1	1588721095127	1588721095128	OK	 
USER	TrabajadorListaVuelos	323	END	1588721051104	1588721095137
USER	TrabajadorListaVuelos	2525	START	1588721095137	1588721095137
REQUEST	2074		Login	1588721095137	1588721095138	OK	 
REQUEST	2525		Home	1588721095138	1588721095140	OK	 
USER	TrabajadorListaVuelos	324	END	1588721051126	1588721095152
USER	TrabajadorListaVuelos	2526	START	1588721095152	1588721095152
REQUEST	2075		Login	1588721095152	1588721095153	OK	 
REQUEST	1325		AirlineLogged	1588721095152	1588721095153	OK	 
