ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.Plane	plane	1589924592922	 	3.3.1
USER	Clients	60	START	1589924598920	1589924598920
REQUEST	53		AirlineLogin	1589924598922	1589924598934	OK	 
REQUEST	60		ClientLogin	1589924598925	1589924598941	OK	 
USER	Airlines	54	START	1589924599018	1589924599018
REQUEST	54		AirlineLogin	1589924599019	1589924599026	OK	 
USER	Airlines	55	START	1589924599119	1589924599119
USER	Clients	61	START	1589924599119	1589924599119
REQUEST	61		ClientLogin	1589924599120	1589924599127	OK	 
REQUEST	55		AirlineLogin	1589924599120	1589924599127	OK	 
USER	Airlines	56	START	1589924599220	1589924599220
REQUEST	56		AirlineLogin	1589924599221	1589924599230	OK	 
USER	Clients	62	START	1589924599317	1589924599317
USER	Airlines	57	START	1589924599317	1589924599317
REQUEST	62		ClientLogin	1589924599319	1589924599325	OK	 
REQUEST	57		AirlineLogin	1589924599319	1589924599325	OK	 
USER	Airlines	63	START	1589924599420	1589924599420
REQUEST	63		AirlineLogin	1589924599421	1589924599425	OK	 
USER	Clients	73	START	1589924599522	1589924599522
USER	Airlines	64	START	1589924599522	1589924599522
REQUEST	73		ClientLogin	1589924599522	1589924599530	OK	 
REQUEST	64		AirlineLogin	1589924599522	1589924599529	OK	 
USER	Airlines	65	START	1589924599623	1589924599623
REQUEST	65		AirlineLogin	1589924599624	1589924599627	OK	 
USER	Airlines	66	START	1589924599722	1589924599722
USER	Clients	74	START	1589924599723	1589924599723
REQUEST	66		AirlineLogin	1589924599723	1589924599731	OK	 
REQUEST	74		ClientLogin	1589924599723	1589924599734	OK	 
USER	Airlines	67	START	1589924599819	1589924599819
REQUEST	67		AirlineLogin	1589924599820	1589924599825	OK	 
USER	Airlines	68	START	1589924599919	1589924599919
USER	Clients	75	START	1589924599919	1589924599919
REQUEST	75		ClientLogin	1589924599920	1589924599924	OK	 
REQUEST	68		AirlineLogin	1589924599920	1589924599924	OK	 
USER	Airlines	69	START	1589924600020	1589924600020
REQUEST	69		AirlineLogin	1589924600021	1589924600026	OK	 
USER	Airlines	70	START	1589924600121	1589924600121
USER	Clients	76	START	1589924600121	1589924600121
REQUEST	70		AirlineLogin	1589924600121	1589924600127	OK	 
