ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaAeropuertoCSV	aerolineacreaaeropuertocsv	1590714919533	 	3.3.1
REQUEST	53		Home	1590714927037	1590714927042	OK	 
USER	AirlineCreateAirport	54	START	1590714927135	1590714927135
REQUEST	54		Home	1590714927135	1590714927140	OK	 
USER	AirlineCreateAirport	55	START	1590714927235	1590714927235
REQUEST	55		Home	1590714927235	1590714927242	OK	 
USER	AirlineCreateAirport	56	START	1590714927336	1590714927336
REQUEST	56		Home	1590714927336	1590714927341	OK	 
USER	AirlineCreateAirport	57	START	1590714927437	1590714927437
REQUEST	57		Home	1590714927437	1590714927442	OK	 
USER	AirlineCreateAirport	58	START	1590714927536	1590714927536
REQUEST	58		Home	1590714927536	1590714927542	OK	 
USER	AirlineCreateAirport	59	START	1590714927636	1590714927636
REQUEST	59		Home	1590714927637	1590714927641	OK	 
USER	AirlineCreateAirport	60	START	1590714927735	1590714927735
REQUEST	60		Home	1590714927736	1590714927741	OK	 
USER	AirlineCreateAirport	61	START	1590714927836	1590714927836
REQUEST	61		Home	1590714927836	1590714927842	OK	 
USER	AirlineCreateAirport	62	START	1590714927936	1590714927936
REQUEST	62		Home	1590714927936	1590714927942	OK	 
USER	AirlineCreateAirport	63	START	1590714928035	1590714928035
REQUEST	63		Home	1590714928035	1590714928041	OK	 
USER	AirlineCreateAirport	64	START	1590714928136	1590714928136
REQUEST	64		Home	1590714928136	1590714928142	OK	 
USER	AirlineCreateAirport	65	START	1590714928238	1590714928238
REQUEST	65		Home	1590714928239	1590714928245	OK	 
USER	AirlineCreateAirport	66	START	1590714928337	1590714928337
REQUEST	66		Home	1590714928338	1590714928343	OK	 
USER	AirlineCreateAirport	67	START	1590714928438	1590714928438
REQUEST	67		Home	1590714928439	1590714928443	OK	 
USER	AirlineCreateAirport	68	START	1590714928535	1590714928535
REQUEST	68		Home	1590714928535	1590714928541	OK	 
USER	AirlineCreateAirport	69	START	1590714928637	1590714928637
REQUEST	69		Home	1590714928637	1590714928642	OK	 
USER	AirlineCreateAirport	70	START	1590714928736	1590714928736
REQUEST	70		Home	1590714928736	1590714928741	OK	 
USER	AirlineCreateAirport	71	START	1590714928835	1590714928835
REQUEST	71		Home	1590714928835	1590714928840	OK	 
USER	AirlineCreateAirport	72	START	1590714928935	1590714928935
REQUEST	72		Home	1590714928935	1590714928940	OK	 
REQUEST	1		LoginAirline	1590714928956	1590714928959	OK	 
REQUEST	2		LoginAirline	1590714928978	1590714928981	OK	 
REQUEST	2		request_9	1590714929023	1590714929030	OK	 
REQUEST	1		request_9	1590714929025	1590714929030	OK	 
USER	AirlineCreateAirport	73	START	1590714929034	1590714929034
REQUEST	73		Home	1590714929035	1590714929040	OK	 
REQUEST	3		LoginAirline	1590714929068	1590714929070	OK	 
REQUEST	3		request_9	1590714929073	1590714929077	OK	 
USER	AirlineCreateAirport	74	START	1590714929136	1590714929136
REQUEST	74		Home	1590714929136	1590714929141	OK	 
REQUEST	4		LoginAirline	1590714929178	1590714929181	OK	 
REQUEST	4		request_9	1590714929183	1590714929186	OK	 
USER	AirlineCreateAirport	75	START	1590714929236	1590714929236
REQUEST	75		Home	1590714929237	1590714929242	OK	 
REQUEST	5		LoginAirline	1590714929280	1590714929284	OK	 
REQUEST	5		request_9	1590714929287	1590714929291	OK	 
USER	AirlineCreateAirport	76	START	1590714929335	1590714929335
REQUEST	76		Home	1590714929336	1590714929341	OK	 
REQUEST	6		LoginAirline	1590714929379	1590714929381	OK	 
REQUEST	6		request_9	1590714929384	1590714929387	OK	 
USER	AirlineCreateAirport	77	START	1590714929436	1590714929436
REQUEST	77		Home	1590714929437	1590714929442	OK	 
REQUEST	7		LoginAirline	1590714929479	1590714929482	OK	 
REQUEST	7		request_9	1590714929484	1590714929487	OK	 
USER	AirlineCreateAirport	78	START	1590714929536	1590714929536
REQUEST	78		Home	1590714929537	1590714929542	OK	 
REQUEST	8		LoginAirline	1590714929569	1590714929572	OK	 
REQUEST	8		request_9	1590714929575	1590714929578	OK	 
USER	AirlineCreateAirport	79	START	1590714929638	1590714929638
REQUEST	79		Home	1590714929639	1590714929645	OK	 
REQUEST	9		LoginAirline	1590714929665	1590714929668	OK	 
REQUEST	9		request_9	1590714929671	1590714929674	OK	 
USER	AirlineCreateAirport	80	START	1590714929740	1590714929740
REQUEST	80		Home	1590714929740	1590714929746	OK	 
REQUEST	10		LoginAirline	1590714929755	1590714929758	OK	 
REQUEST	10		request_9	1590714929760	1590714929763	OK	 
USER	AirlineCreateAirport	81	START	1590714929835	1590714929835
