ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AirlineRegistraVuelo	airlineregistravuelo	1588724354053	 	3.3.1
USER	AirlineRegistraVuelo	52	START	1588724356235	1588724356235
REQUEST	52		Home	1588724356235	1588724356241	OK	 
USER	AirlineRegistraVuelo	53	START	1588724356256	1588724356256
REQUEST	53		Home	1588724356256	1588724356261	OK	 
USER	AirlineRegistraVuelo	54	START	1588724356278	1588724356278
REQUEST	54		Home	1588724356278	1588724356282	OK	 
USER	AirlineRegistraVuelo	55	START	1588724356300	1588724356300
REQUEST	55		Home	1588724356300	1588724356305	OK	 
USER	AirlineRegistraVuelo	56	START	1588724356314	1588724356314
REQUEST	56		Home	1588724356315	1588724356319	OK	 
USER	AirlineRegistraVuelo	57	START	1588724356335	1588724356335
REQUEST	57		Home	1588724356335	1588724356341	OK	 
USER	AirlineRegistraVuelo	58	START	1588724356357	1588724356357
REQUEST	58		Home	1588724356358	1588724356362	OK	 
USER	AirlineRegistraVuelo	59	START	1588724356377	1588724356377
REQUEST	59		Home	1588724356378	1588724356382	OK	 
USER	AirlineRegistraVuelo	60	START	1588724356398	1588724356398
REQUEST	60		Home	1588724356398	1588724356403	OK	 
USER	AirlineRegistraVuelo	61	START	1588724356420	1588724356420
REQUEST	61		Home	1588724356421	1588724356425	OK	 
USER	AirlineRegistraVuelo	62	START	1588724356434	1588724356434
REQUEST	62		Home	1588724356435	1588724356439	OK	 
USER	AirlineRegistraVuelo	63	START	1588724356456	1588724356456
REQUEST	63		Home	1588724356457	1588724356462	OK	 
USER	AirlineRegistraVuelo	64	START	1588724356477	1588724356477
REQUEST	64		Home	1588724356478	1588724356483	OK	 
USER	AirlineRegistraVuelo	65	START	1588724356499	1588724356499
REQUEST	65		Home	1588724356500	1588724356504	OK	 
USER	AirlineRegistraVuelo	66	START	1588724356515	1588724356515
REQUEST	66		Home	1588724356515	1588724356519	OK	 
USER	AirlineRegistraVuelo	67	START	1588724356536	1588724356536
REQUEST	67		Home	1588724356536	1588724356540	OK	 
USER	AirlineRegistraVuelo	68	START	1588724356557	1588724356557
REQUEST	68		Home	1588724356558	1588724356562	OK	 
USER	AirlineRegistraVuelo	69	START	1588724356578	1588724356578
REQUEST	69		Home	1588724356578	1588724356581	OK	 
USER	AirlineRegistraVuelo	70	START	1588724356599	1588724356599
REQUEST	70		Home	1588724356600	1588724356603	OK	 
USER	AirlineRegistraVuelo	71	START	1588724356614	1588724356614
REQUEST	71		Home	1588724356615	1588724356618	OK	 
USER	AirlineRegistraVuelo	72	START	1588724356635	1588724356635
REQUEST	72		Home	1588724356635	1588724356640	OK	 
USER	AirlineRegistraVuelo	73	START	1588724356656	1588724356656
REQUEST	73		Home	1588724356656	1588724356660	OK	 
USER	AirlineRegistraVuelo	74	START	1588724356678	1588724356678
REQUEST	74		Home	1588724356678	1588724356681	OK	 
USER	AirlineRegistraVuelo	75	START	1588724356699	1588724356699
REQUEST	75		Home	1588724356700	1588724356703	OK	 
USER	AirlineRegistraVuelo	76	START	1588724356714	1588724356714
REQUEST	76		Home	1588724356715	1588724356719	OK	 
USER	AirlineRegistraVuelo	77	START	1588724356736	1588724356736
REQUEST	77		Home	1588724356737	1588724356741	OK	 
USER	AirlineRegistraVuelo	78	START	1588724356758	1588724356758
REQUEST	78		Home	1588724356758	1588724356762	OK	 
USER	AirlineRegistraVuelo	79	START	1588724356779	1588724356779
REQUEST	79		Home	1588724356780	1588724356783	OK	 
USER	AirlineRegistraVuelo	80	START	1588724356795	1588724356795
REQUEST	80		Home	1588724356795	1588724356798	OK	 
