ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
USER	AirlineEditAirport	8	START	1590233311139	1590233311139
REQUEST	92		Home	1590233311140	1590233311142	OK	 
REQUEST	71		Home	1590233311140	1590233311142	OK	 
REQUEST	8		Home	1590233311140	1590233311143	OK	 
USER	AirlineDeleteAirport	135	START	1590233311231	1590233311231
USER	ClientShowAirport	114	START	1590233311231	1590233311231
USER	AirlineCreateAirport	30	START	1590233311231	1590233311231
USER	AirlineShowAirport	51	START	1590233311231	1590233311231
REQUEST	135		Home	1590233311231	1590233311234	OK	 
REQUEST	114		Home	1590233311231	1590233311234	OK	 
REQUEST	51		Home	1590233311231	1590233311234	OK	 
REQUEST	30		Home	1590233311231	1590233311235	OK	 
USER	AirlineListAirports	72	START	1590233311242	1590233311242
USER	AirlineEditAirport	9	START	1590233311242	1590233311242
USER	ClientListAirports	93	START	1590233311242	1590233311242
REQUEST	93		Home	1590233311242	1590233311244	OK	 
REQUEST	72		Home	1590233311242	1590233311244	OK	 
REQUEST	9		Home	1590233311242	1590233311245	OK	 
USER	ClientShowAirport	115	START	1590233311329	1590233311329
USER	AirlineCreateAirport	31	START	1590233311329	1590233311329
USER	AirlineShowAirport	52	START	1590233311329	1590233311329
USER	AirlineDeleteAirport	136	START	1590233311329	1590233311329
REQUEST	52		Home	1590233311330	1590233311332	OK	 
REQUEST	31		Home	1590233311330	1590233311333	OK	 
REQUEST	136		Home	1590233311330	1590233311332	OK	 
REQUEST	115		Home	1590233311330	1590233311332	OK	 
USER	AirlineListAirports	73	START	1590233311339	1590233311339
USER	AirlineEditAirport	10	START	1590233311339	1590233311339
USER	ClientListAirports	94	START	1590233311339	1590233311339
REQUEST	10		Home	1590233311339	1590233311342	OK	 
REQUEST	73		Home	1590233311340	1590233311342	OK	 
REQUEST	94		Home	1590233311340	1590233311342	OK	 
USER	ClientShowAirport	116	START	1590233311432	1590233311432
USER	AirlineShowAirport	53	START	1590233311432	1590233311432
USER	AirlineCreateAirport	32	START	1590233311432	1590233311432
USER	AirlineDeleteAirport	137	START	1590233311432	1590233311432
REQUEST	32		Home	1590233311432	1590233311435	OK	 
REQUEST	137		Home	1590233311432	1590233311435	OK	 
REQUEST	53		Home	1590233311432	1590233311435	OK	 
REQUEST	116		Home	1590233311432	1590233311435	OK	 
USER	AirlineEditAirport	11	START	1590233311442	1590233311442
USER	ClientListAirports	95	START	1590233311442	1590233311442
USER	AirlineListAirports	74	START	1590233311442	1590233311442
REQUEST	95		Home	1590233311442	1590233311444	OK	 
REQUEST	11		Home	1590233311442	1590233311444	OK	 
REQUEST	74		Home	1590233311442	1590233311445	OK	 
USER	AirlineDeleteAirport	138	START	1590233311529	1590233311529
USER	ClientShowAirport	117	START	1590233311529	1590233311529
USER	AirlineCreateAirport	33	START	1590233311529	1590233311529
REQUEST	138		Home	1590233311530	1590233311532	OK	 
REQUEST	33		Home	1590233311530	1590233311532	OK	 
REQUEST	117		Home	1590233311530	1590233311532	OK	 
USER	AirlineEditAirport	12	START	1590233311539	1590233311539
USER	AirlineShowAirport	54	START	1590233311539	1590233311539
USER	AirlineListAirports	75	START	1590233311539	1590233311539
USER	ClientListAirports	96	START	1590233311539	1590233311539
REQUEST	96		Home	1590233311540	1590233311542	OK	 
REQUEST	12		Home	1590233311540	1590233311542	OK	 
REQUEST	75		Home	1590233311540	1590233311542	OK	 
REQUEST	54		Home	1590233311540	1590233311542	OK	 
