ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	acmevolar.model.ClienteCreaReservaCSV	clientecreareservacsv	1590716211648	 	3.3.1
REQUEST	13		LoggedClient Redirect 1	1590716263683	1590716263687	OK	 
REQUEST	5		CreateBook	1590716263688	1590716263703	OK	 
USER	Clients create books	27	START	1590716265637	1590716265637
REQUEST	27		Home	1590716265638	1590716265643	OK	 
REQUEST	22		LoginFormClient	1590716265664	1590716265668	OK	 
REQUEST	14		LoggedClient	1590716265665	1590716265670	OK	 
REQUEST	14		LoggedClient Redirect 1	1590716265671	1590716265678	OK	 
REQUEST	6		CreateBook	1590716265776	1590716265794	OK	 
USER	Clients create books	28	START	1590716267639	1590716267639
REQUEST	28		Home	1590716267640	1590716267647	OK	 
REQUEST	23		LoginFormClient	1590716267654	1590716267657	OK	 
REQUEST	15		LoggedClient	1590716267665	1590716267670	OK	 
REQUEST	15		LoggedClient Redirect 1	1590716267670	1590716267674	OK	 
REQUEST	7		CreateBook	1590716267676	1590716267689	OK	 
USER	Clients create books	29	START	1590716269638	1590716269638
REQUEST	29		Home	1590716269639	1590716269644	OK	 
REQUEST	24		LoginFormClient	1590716269654	1590716269657	OK	 
REQUEST	16		LoggedClient	1590716269665	1590716269670	OK	 
REQUEST	16		LoggedClient Redirect 1	1590716269671	1590716269682	OK	 
REQUEST	8		CreateBook	1590716269685	1590716269702	OK	 
USER	Clients create books	30	START	1590716271648	1590716271648
REQUEST	30		Home	1590716271649	1590716271654	OK	 
REQUEST	25		LoginFormClient	1590716271674	1590716271678	OK	 
REQUEST	17		LoggedClient	1590716271675	1590716271680	OK	 
REQUEST	17		LoggedClient Redirect 1	1590716271681	1590716271686	OK	 
REQUEST	9		CreateBook	1590716271685	1590716271705	OK	 
USER	Clients create books	31	START	1590716273648	1590716273648
REQUEST	31		Home	1590716273649	1590716273654	OK	 
REQUEST	26		LoginFormClient	1590716273670	1590716273673	OK	 
REQUEST	18		LoggedClient	1590716273675	1590716273680	OK	 
REQUEST	18		LoggedClient Redirect 1	1590716273681	1590716273690	OK	 
REQUEST	10		CreateBook	1590716273675	1590716273693	OK	 
REQUEST	1		BookCreated	1590716273925	1590716273947	OK	 
USER	Clients create books	32	START	1590716275639	1590716275639
REQUEST	32		Home	1590716275639	1590716275644	OK	 
REQUEST	27		LoginFormClient	1590716275654	1590716275657	OK	 
REQUEST	19		LoggedClient	1590716275655	1590716275660	OK	 
REQUEST	19		LoggedClient Redirect 1	1590716275661	1590716275665	OK	 
REQUEST	11		CreateBook	1590716275686	1590716275708	OK	 
REQUEST	2		BookCreated	1590716275766	1590716275787	OK	 
USER	Clients create books	33	START	1590716277635	1590716277635
REQUEST	33		Home	1590716277635	1590716277641	OK	 
REQUEST	28		LoginFormClient	1590716277657	1590716277660	OK	 
REQUEST	20		LoggedClient	1590716277668	1590716277673	OK	 
REQUEST	20		LoggedClient Redirect 1	1590716277674	1590716277677	OK	 
REQUEST	12		CreateBook	1590716277689	1590716277703	OK	 
REQUEST	3		BookCreated	1590716277709	1590716277729	OK	 
USER	Clients create books	34	START	1590716279638	1590716279638
REQUEST	34		Home	1590716279639	1590716279651	OK	 
REQUEST	29		LoginFormClient	1590716279655	1590716279658	OK	 
REQUEST	21		LoggedClient	1590716279676	1590716279681	OK	 
REQUEST	21		LoggedClient Redirect 1	1590716279681	1590716279685	OK	 
REQUEST	13		CreateBook	1590716279686	1590716279709	OK	 
REQUEST	4		BookCreated	1590716279730	1590716279749	OK	 
USER	Clients create books	35	START	1590716281634	1590716281634
REQUEST	35		Home	1590716281635	1590716281640	OK	 
REQUEST	30		LoginFormClient	1590716281667	1590716281670	OK	 
REQUEST	22		LoggedClient	1590716281678	1590716281684	OK	 
REQUEST	22		LoggedClient Redirect 1	1590716281685	1590716281693	OK	 
