ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaNuevaPistaAterrizajeCSV	aerolineacreanuevapistaaterrizajecsv	1590716607430	 	3.3.1
REQUEST	53		Home	1590716612090	1590716612096	OK	 
USER	AirlineCreateRunway	54	START	1590716612136	1590716612136
REQUEST	54		Home	1590716612137	1590716612142	OK	 
USER	AirlineCreateRunway	55	START	1590716612184	1590716612184
REQUEST	55		Home	1590716612185	1590716612192	OK	 
USER	AirlineCreateRunway	56	START	1590716612237	1590716612237
REQUEST	56		Home	1590716612237	1590716612242	OK	 
USER	AirlineCreateRunway	57	START	1590716612284	1590716612284
REQUEST	57		Home	1590716612285	1590716612290	OK	 
USER	AirlineCreateRunway	58	START	1590716612338	1590716612338
REQUEST	58		Home	1590716612338	1590716612344	OK	 
USER	AirlineCreateRunway	59	START	1590716612385	1590716612385
REQUEST	59		Home	1590716612386	1590716612391	OK	 
USER	AirlineCreateRunway	60	START	1590716612439	1590716612439
REQUEST	60		Home	1590716612440	1590716612446	OK	 
USER	AirlineCreateRunway	61	START	1590716612486	1590716612486
REQUEST	61		Home	1590716612487	1590716612494	OK	 
USER	AirlineCreateRunway	62	START	1590716612530	1590716612530
REQUEST	62		Home	1590716612530	1590716612536	OK	 
USER	AirlineCreateRunway	63	START	1590716612577	1590716612577
REQUEST	63		Home	1590716612578	1590716612583	OK	 
USER	AirlineCreateRunway	64	START	1590716612624	1590716612624
REQUEST	64		Home	1590716612625	1590716612631	OK	 
USER	AirlineCreateRunway	65	START	1590716612677	1590716612677
REQUEST	65		Home	1590716612678	1590716612688	OK	 
USER	AirlineCreateRunway	66	START	1590716612729	1590716612729
REQUEST	66		Home	1590716612730	1590716612757	OK	 
USER	AirlineCreateRunway	67	START	1590716612775	1590716612775
REQUEST	67		Home	1590716612776	1590716612790	OK	 
USER	AirlineCreateRunway	68	START	1590716612828	1590716612828
REQUEST	68		Home	1590716612831	1590716612844	OK	 
USER	AirlineCreateRunway	69	START	1590716612875	1590716612875
REQUEST	69		Home	1590716612876	1590716612884	OK	 
USER	AirlineCreateRunway	70	START	1590716612926	1590716612926
REQUEST	70		Home	1590716612926	1590716612934	OK	 
USER	AirlineCreateRunway	71	START	1590716612974	1590716612974
REQUEST	71		Home	1590716612975	1590716612990	OK	 
USER	AirlineCreateRunway	72	START	1590716613024	1590716613024
REQUEST	72		Home	1590716613025	1590716613035	OK	 
USER	AirlineCreateRunway	73	START	1590716613078	1590716613078
REQUEST	73		Home	1590716613079	1590716613086	OK	 
USER	AirlineCreateRunway	74	START	1590716613124	1590716613124
REQUEST	74		Home	1590716613124	1590716613129	OK	 
USER	AirlineCreateRunway	75	START	1590716613178	1590716613178
REQUEST	75		Home	1590716613179	1590716613184	OK	 
USER	AirlineCreateRunway	76	START	1590716613225	1590716613225
REQUEST	76		Home	1590716613226	1590716613231	OK	 
USER	AirlineCreateRunway	77	START	1590716613278	1590716613278
REQUEST	77		Home	1590716613279	1590716613284	OK	 
USER	AirlineCreateRunway	78	START	1590716613326	1590716613326
REQUEST	78		Home	1590716613326	1590716613331	OK	 
USER	AirlineCreateRunway	79	START	1590716613380	1590716613380
REQUEST	79		Home	1590716613380	1590716613385	OK	 
USER	AirlineCreateRunway	80	START	1590716613427	1590716613427
REQUEST	80		Home	1590716613427	1590716613433	OK	 
USER	AirlineCreateRunway	81	START	1590716613474	1590716613474
REQUEST	81		Home	1590716613475	1590716613480	OK	 
USER	AirlineCreateRunway	82	START	1590716613539	1590716613539
REQUEST	82		Home	1590716613539	1590716613544	OK	 
USER	AirlineCreateRunway	83	START	1590716613586	1590716613586
REQUEST	83		Home	1590716613587	1590716613594	OK	 
USER	AirlineCreateRunway	84	START	1590716613639	1590716613639
REQUEST	84		Home	1590716613639	1590716613645	OK	 
USER	AirlineCreateRunway	85	START	1590716613685	1590716613685
REQUEST	85		Home	1590716613685	1590716613691	OK	 
USER	AirlineCreateRunway	86	START	1590716613737	1590716613737
REQUEST	86		Home	1590716613738	1590716613744	OK	 
USER	AirlineCreateRunway	87	START	1590716613784	1590716613784
REQUEST	87		Home	1590716613785	1590716613790	OK	 
USER	AirlineCreateRunway	88	START	1590716613836	1590716613836
REQUEST	88		Home	1590716613837	1590716613842	OK	 
USER	AirlineCreateRunway	89	START	1590716613884	1590716613884
REQUEST	89		Home	1590716613885	1590716613889	OK	 
USER	AirlineCreateRunway	90	START	1590716613937	1590716613937
REQUEST	90		Home	1590716613938	1590716613943	OK	 
USER	AirlineCreateRunway	91	START	1590716613985	1590716613985
REQUEST	91		Home	1590716613986	1590716613992	OK	 
USER	AirlineCreateRunway	92	START	1590716614039	1590716614039
REQUEST	92		Home	1590716614040	1590716614045	OK	 
USER	AirlineCreateRunway	93	START	1590716614087	1590716614087
REQUEST	93		Home	1590716614087	1590716614093	OK	 
USER	AirlineCreateRunway	94	START	1590716614136	1590716614136
REQUEST	94		Home	1590716614136	1590716614141	OK	 
USER	AirlineCreateRunway	95	START	1590716614188	1590716614188
REQUEST	95		Home	1590716614189	1590716614194	OK	 
USER	AirlineCreateRunway	96	START	1590716614236	1590716614236
REQUEST	96		Home	1590716614236	1590716614243	OK	 
USER	AirlineCreateRunway	97	START	1590716614289	1590716614289
REQUEST	97		Home	1590716614289	1590716614295	OK	 
USER	AirlineCreateRunway	98	START	1590716614335	1590716614335
REQUEST	98		Home	1590716614335	1590716614341	OK	 
USER	AirlineCreateRunway	99	START	1590716614387	1590716614387
REQUEST	99		Home	1590716614388	1590716614393	OK	 
USER	AirlineCreateRunway	100	START	1590716614440	1590716614440
REQUEST	100		Home	1590716614440	1590716614448	OK	 
USER	AirlineCreateRunway	101	START	1590716614486	1590716614486
REQUEST	101		Home	1590716614487	1590716614496	OK	 
USER	AirlineCreateRunway	102	START	1590716614539	1590716614539
REQUEST	102		Home	1590716614539	1590716614544	OK	 
USER	AirlineCreateRunway	103	START	1590716614587	1590716614587
REQUEST	103		Home	1590716614588	1590716614593	OK	 
