ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaNuevaPistaAterrizajeCSV	aerolineacreanuevapistaaterrizajecsv	1590716607430	 	3.3.1
REQUEST	8		CreateRunway	1590716637919	1590716638392	OK	 
REQUEST	3		CreateRunway	1590716637679	1590716638397	OK	 
REQUEST	15		CreateRunway	1590716638249	1590716638409	OK	 
REQUEST	16		CreateRunway	1590716638298	1590716638409	OK	 
USER	AirlineCreateRunway	578	START	1590716638410	1590716638410
REQUEST	578		Home	1590716638411	1590716638418	OK	 
REQUEST	238		request_2	1590716638415	1590716638422	OK	 
REQUEST	458		LoginAirline	1590716638419	1590716638423	OK	 
USER	AirlineCreateRunway	579	START	1590716638427	1590716638427
REQUEST	238		request_2 Redirect 1	1590716638422	1590716638433	OK	 
REQUEST	579		Home	1590716638427	1590716638434	OK	 
REQUEST	239		request_2	1590716638428	1590716638436	OK	 
USER	AirlineCreateRunway	580	START	1590716638439	1590716638439
REQUEST	17		CreateRunway	1590716638420	1590716638445	OK	 
REQUEST	233		request_2	1590716638117	1590716638446	OK	 
REQUEST	237		request_2	1590716638298	1590716638448	OK	 
REQUEST	459		LoginAirline	1590716638439	1590716638452	OK	 
REQUEST	239		request_2 Redirect 1	1590716638436	1590716638455	OK	 
REQUEST	237		request_2 Redirect 1	1590716638448	1590716638457	OK	 
REQUEST	233		request_2 Redirect 1	1590716638446	1590716638459	OK	 
REQUEST	580		Home	1590716638439	1590716638460	OK	 
REQUEST	18		CreateRunway	1590716638436	1590716638460	OK	 
REQUEST	460		LoginAirline	1590716638463	1590716638467	OK	 
REQUEST	240		request_2	1590716638462	1590716638468	OK	 
REQUEST	240		request_2 Redirect 1	1590716638468	1590716638476	OK	 
USER	AirlineCreateRunway	581	START	1590716638480	1590716638480
REQUEST	19		CreateRunway	1590716638463	1590716638485	OK	 
REQUEST	581		Home	1590716638480	1590716638493	OK	 
REQUEST	241		request_2	1590716638507	1590716638523	OK	 
REQUEST	461		LoginAirline	1590716638507	1590716638523	OK	 
REQUEST	241		request_2 Redirect 1	1590716638524	1590716638532	OK	 
USER	AirlineCreateRunway	582	START	1590716638530	1590716638530
REQUEST	462		LoginAirline	1590716638535	1590716638539	OK	 
REQUEST	582		Home	1590716638530	1590716638540	OK	 
REQUEST	20		CreateRunway	1590716638509	1590716638544	OK	 
REQUEST	242		request_2	1590716638549	1590716638555	OK	 
REQUEST	242		request_2 Redirect 1	1590716638555	1590716638565	OK	 
USER	AirlineCreateRunway	583	START	1590716638577	1590716638577
REQUEST	583		Home	1590716638578	1590716638587	OK	 
REQUEST	21		CreateRunway	1590716638565	1590716638588	OK	 
REQUEST	463		LoginAirline	1590716638599	1590716638602	OK	 
REQUEST	243		request_2	1590716638615	1590716638621	OK	 
REQUEST	243		request_2 Redirect 1	1590716638621	1590716638630	OK	 
USER	AirlineCreateRunway	584	START	1590716638631	1590716638631
REQUEST	22		CreateRunway	1590716638610	1590716638637	OK	 
REQUEST	584		Home	1590716638632	1590716638639	OK	 
REQUEST	464		LoginAirline	1590716638636	1590716638640	OK	 
REQUEST	244		request_2	1590716638657	1590716638667	OK	 
REQUEST	244		request_2 Redirect 1	1590716638668	1590716638673	OK	 
REQUEST	23		CreateRunway	1590716638648	1590716638672	OK	 
USER	AirlineCreateRunway	585	START	1590716638679	1590716638679
REQUEST	585		Home	1590716638680	1590716638689	OK	 
REQUEST	465		LoginAirline	1590716638692	1590716638700	OK	 
REQUEST	245		request_2	1590716638717	1590716638723	OK	 
USER	AirlineCreateRunway	586	START	1590716638732	1590716638732
REQUEST	245		request_2 Redirect 1	1590716638724	1590716638735	OK	 
REQUEST	24		CreateRunway	1590716638704	1590716638737	OK	 
REQUEST	586		Home	1590716638732	1590716638739	OK	 
REQUEST	466		LoginAirline	1590716638736	1590716638741	OK	 
REQUEST	246		request_2	1590716638765	1590716638770	OK	 
REQUEST	25		CreateRunway	1590716638755	1590716638775	OK	 
USER	AirlineCreateRunway	587	START	1590716638776	1590716638776
REQUEST	246		request_2 Redirect 1	1590716638771	1590716638777	OK	 
REQUEST	587		Home	1590716638776	1590716638783	OK	 
REQUEST	467		LoginAirline	1590716638787	1590716638792	OK	 
REQUEST	247		request_2	1590716638814	1590716638819	OK	 
REQUEST	247		request_2 Redirect 1	1590716638820	1590716638825	OK	 
USER	AirlineCreateRunway	588	START	1590716638825	1590716638825
REQUEST	26		CreateRunway	1590716638809	1590716638826	OK	 
REQUEST	588		Home	1590716638825	1590716638832	OK	 
REQUEST	468		LoginAirline	1590716638836	1590716638839	OK	 
REQUEST	27		CreateRunway	1590716638858	1590716638872	OK	 
USER	AirlineCreateRunway	589	START	1590716638880	1590716638880
REQUEST	248		request_2	1590716638880	1590716638885	OK	 
REQUEST	589		Home	1590716638880	1590716638887	OK	 
REQUEST	469		LoginAirline	1590716638884	1590716638888	OK	 
REQUEST	248		request_2 Redirect 1	1590716638886	1590716638892	OK	 
REQUEST	28		CreateRunway	1590716638884	1590716638899	OK	 
USER	AirlineCreateRunway	590	START	1590716638924	1590716638924
REQUEST	249		request_2	1590716638920	1590716638926	OK	 
REQUEST	590		Home	1590716638925	1590716638932	OK	 
REQUEST	249		request_2 Redirect 1	1590716638926	1590716638933	OK	 
REQUEST	470		LoginAirline	1590716638936	1590716638939	OK	 
REQUEST	29		CreateRunway	1590716638947	1590716638959	OK	 
REQUEST	250		request_2	1590716638969	1590716638973	OK	 
REQUEST	250		request_2 Redirect 1	1590716638973	1590716638976	OK	 
USER	AirlineCreateRunway	591	START	1590716638980	1590716638980
REQUEST	591		Home	1590716638980	1590716638987	OK	 
REQUEST	471		LoginAirline	1590716638984	1590716638988	OK	 
REQUEST	30		CreateRunway	1590716638999	1590716639012	OK	 
REQUEST	251		request_2	1590716639014	1590716639018	OK	 
REQUEST	251		request_2 Redirect 1	1590716639018	1590716639022	OK	 
USER	AirlineCreateRunway	592	START	1590716639024	1590716639024
REQUEST	592		Home	1590716639024	1590716639029	OK	 
REQUEST	472		LoginAirline	1590716639035	1590716639037	OK	 
REQUEST	31		CreateRunway	1590716639046	1590716639058	OK	 
REQUEST	252		request_2	1590716639068	1590716639072	OK	 
REQUEST	252		request_2 Redirect 1	1590716639072	1590716639077	OK	 
USER	AirlineCreateRunway	593	START	1590716639078	1590716639078
REQUEST	593		Home	1590716639079	1590716639083	OK	 
REQUEST	473		LoginAirline	1590716639089	1590716639092	OK	 
REQUEST	32		CreateRunway	1590716639104	1590716639118	OK	 
REQUEST	253		request_2	1590716639115	1590716639121	OK	 
REQUEST	253		request_2 Redirect 1	1590716639121	1590716639125	OK	 
USER	AirlineCreateRunway	594	START	1590716639126	1590716639126
REQUEST	594		Home	1590716639127	1590716639131	OK	 
REQUEST	474		LoginAirline	1590716639137	1590716639140	OK	 
REQUEST	33		CreateRunway	1590716639148	1590716639164	OK	 
USER	AirlineCreateRunway	595	START	1590716639174	1590716639174
REQUEST	595		Home	1590716639174	1590716639179	OK	 
REQUEST	475		LoginAirline	1590716639185	1590716639188	OK	 
REQUEST	34		CreateRunway	1590716639185	1590716639198	OK	 
REQUEST	255		request_2	1590716639217	1590716639223	OK	 
REQUEST	255		request_2 Redirect 1	1590716639223	1590716639228	OK	 
USER	AirlineCreateRunway	596	START	1590716639228	1590716639228
REQUEST	596		Home	1590716639228	1590716639233	OK	 
REQUEST	476		LoginAirline	1590716639238	1590716639241	OK	 
REQUEST	254		request_2	1590716639249	1590716639254	OK	 
REQUEST	256		request_2	1590716639260	1590716639267	OK	 
REQUEST	254		request_2 Redirect 1	1590716639254	1590716639269	OK	 
REQUEST	35		CreateRunway	1590716639249	1590716639271	OK	 
REQUEST	256		request_2 Redirect 1	1590716639267	1590716639273	OK	 
USER	AirlineCreateRunway	597	START	1590716639275	1590716639275
REQUEST	597		Home	1590716639275	1590716639280	OK	 
REQUEST	477		LoginAirline	1590716639285	1590716639288	OK	 
REQUEST	36		CreateRunway	1590716639296	1590716639311	OK	 
REQUEST	257		request_2	1590716639318	1590716639323	OK	 
REQUEST	257		request_2 Redirect 1	1590716639323	1590716639327	OK	 
USER	AirlineCreateRunway	598	START	1590716639329	1590716639329
REQUEST	598		Home	1590716639329	1590716639334	OK	 
REQUEST	478		LoginAirline	1590716639340	1590716639342	OK	 
REQUEST	258		request_2	1590716639355	1590716639359	OK	 
REQUEST	37		CreateRunway	1590716639344	1590716639359	OK	 
REQUEST	258		request_2 Redirect 1	1590716639359	1590716639363	OK	 
USER	AirlineCreateRunway	599	START	1590716639376	1590716639376
REQUEST	599		Home	1590716639376	1590716639380	OK	 
REQUEST	479		LoginAirline	1590716639387	1590716639389	OK	 
REQUEST	38		CreateRunway	1590716639397	1590716639415	OK	 
REQUEST	259		request_2	1590716639418	1590716639422	OK	 
REQUEST	259		request_2 Redirect 1	1590716639422	1590716639427	OK	 
USER	AirlineCreateRunway	600	START	1590716639429	1590716639429
REQUEST	600		Home	1590716639429	1590716639434	OK	 
REQUEST	480		LoginAirline	1590716639440	1590716639444	OK	 
REQUEST	260		request_2	1590716639465	1590716639472	OK	 
REQUEST	39		CreateRunway	1590716639454	1590716639473	OK	 
USER	AirlineCreateRunway	601	START	1590716639475	1590716639475
REQUEST	260		request_2 Redirect 1	1590716639472	1590716639479	OK	 
REQUEST	601		Home	1590716639476	1590716639482	OK	 
REQUEST	481		LoginAirline	1590716639508	1590716639511	OK	 
REQUEST	261		request_2	1590716639508	1590716639514	OK	 
REQUEST	40		CreateRunway	1590716639496	1590716639515	OK	 
REQUEST	261		request_2 Redirect 1	1590716639514	1590716639518	OK	 
USER	AirlineCreateRunway	602	START	1590716639539	1590716639539
REQUEST	602		Home	1590716639539	1590716639544	OK	 
REQUEST	482		LoginAirline	1590716639554	1590716639557	OK	 
REQUEST	262		request_2	1590716639564	1590716639569	OK	 
REQUEST	41		CreateRunway	1590716639554	1590716639571	OK	 
REQUEST	262		request_2 Redirect 1	1590716639569	1590716639575	OK	 
REQUEST	42		CreateRunway	1590716639564	1590716639580	OK	 
USER	AirlineCreateRunway	603	START	1590716639585	1590716639585
REQUEST	603		Home	1590716639585	1590716639590	OK	 
REQUEST	263		request_2	1590716639595	1590716639600	OK	 
REQUEST	263		request_2 Redirect 1	1590716639600	1590716639603	OK	 
REQUEST	483		LoginAirline	1590716639606	1590716639609	OK	 
REQUEST	43		CreateRunway	1590716639616	1590716639631	OK	 
USER	AirlineCreateRunway	604	START	1590716639637	1590716639637
REQUEST	604		Home	1590716639637	1590716639642	OK	 
REQUEST	484		LoginAirline	1590716639659	1590716639662	OK	 
REQUEST	264		request_2	1590716639664	1590716639668	OK	 
REQUEST	264		request_2 Redirect 1	1590716639668	1590716639672	OK	 
REQUEST	44		CreateRunway	1590716639664	1590716639678	OK	 
USER	AirlineCreateRunway	605	START	1590716639684	1590716639684
REQUEST	605		Home	1590716639684	1590716639689	OK	 
REQUEST	485		LoginAirline	1590716639717	1590716639720	OK	 
REQUEST	265		request_2	1590716639717	1590716639723	OK	 
REQUEST	265		request_2 Redirect 1	1590716639723	1590716639727	OK	 
REQUEST	45		CreateRunway	1590716639717	1590716639733	OK	 
USER	AirlineCreateRunway	606	START	1590716639738	1590716639738
REQUEST	606		Home	1590716639738	1590716639743	OK	 
REQUEST	266		request_2	1590716639764	1590716639772	OK	 
REQUEST	266		request_2 Redirect 1	1590716639772	1590716639781	OK	 
REQUEST	486		LoginAirline	1590716639776	1590716639782	OK	 
USER	AirlineCreateRunway	607	START	1590716639784	1590716639784
REQUEST	46		CreateRunway	1590716639764	1590716639787	OK	 
REQUEST	607		Home	1590716639785	1590716639793	OK	 
REQUEST	267		request_2	1590716639806	1590716639810	OK	 
REQUEST	267		request_2 Redirect 1	1590716639811	1590716639814	OK	 
REQUEST	487		LoginAirline	1590716639828	1590716639831	OK	 
REQUEST	47		CreateRunway	1590716639817	1590716639833	OK	 
USER	AirlineCreateRunway	608	START	1590716639838	1590716639838
REQUEST	608		Home	1590716639838	1590716639843	OK	 
REQUEST	488		LoginAirline	1590716639859	1590716639861	OK	 
REQUEST	268		request_2	1590716639870	1590716639875	OK	 
REQUEST	268		request_2 Redirect 1	1590716639875	1590716639880	OK	 
REQUEST	48		CreateRunway	1590716639870	1590716639886	OK	 
USER	AirlineCreateRunway	609	START	1590716639888	1590716639888
REQUEST	609		Home	1590716639888	1590716639893	OK	 
REQUEST	489		LoginAirline	1590716639909	1590716639911	OK	 
USER	AirlineCreateRunway	610	START	1590716639934	1590716639934
REQUEST	610		Home	1590716639934	1590716639941	OK	 
REQUEST	269		request_2	1590716639944	1590716639950	OK	 
REQUEST	49		CreateRunway	1590716639934	1590716639954	OK	 
REQUEST	269		request_2 Redirect 1	1590716639950	1590716639956	OK	 
REQUEST	490		LoginAirline	1590716639955	1590716639959	OK	 
REQUEST	270		request_2	1590716639966	1590716639971	OK	 
REQUEST	270		request_2 Redirect 1	1590716639971	1590716639976	OK	 
REQUEST	50		CreateRunway	1590716639966	1590716639982	OK	 
USER	AirlineCreateRunway	611	START	1590716639987	1590716639987
REQUEST	611		Home	1590716639988	1590716639993	OK	 
REQUEST	491		LoginAirline	1590716640009	1590716640013	OK	 
REQUEST	271		request_2	1590716640014	1590716640019	OK	 
REQUEST	271		request_2 Redirect 1	1590716640019	1590716640022	OK	 
USER	AirlineCreateRunway	612	START	1590716640035	1590716640035
REQUEST	51		CreateRunway	1590716640024	1590716640041	OK	 
REQUEST	612		Home	1590716640035	1590716640041	OK	 
REQUEST	492		LoginAirline	1590716640068	1590716640071	OK	 
REQUEST	272		request_2	1590716640068	1590716640073	OK	 
REQUEST	272		request_2 Redirect 1	1590716640074	1590716640080	OK	 
USER	AirlineCreateRunway	613	START	1590716640084	1590716640084
REQUEST	52		CreateRunway	1590716640068	1590716640087	OK	 
REQUEST	613		Home	1590716640085	1590716640093	OK	 
REQUEST	493		LoginAirline	1590716640107	1590716640110	OK	 
REQUEST	273		request_2	1590716640107	1590716640112	OK	 
REQUEST	273		request_2 Redirect 1	1590716640112	1590716640116	OK	 
REQUEST	53		CreateRunway	1590716640118	1590716640131	OK	 
USER	AirlineCreateRunway	614	START	1590716640140	1590716640140
REQUEST	614		Home	1590716640140	1590716640145	OK	 
REQUEST	494		LoginAirline	1590716640154	1590716640157	OK	 
REQUEST	274		request_2	1590716640165	1590716640169	OK	 
REQUEST	274		request_2 Redirect 1	1590716640170	1590716640176	OK	 
REQUEST	54		CreateRunway	1590716640165	1590716640182	OK	 
USER	AirlineCreateRunway	615	START	1590716640188	1590716640188
REQUEST	615		Home	1590716640188	1590716640194	OK	 
REQUEST	495		LoginAirline	1590716640210	1590716640212	OK	 
REQUEST	275		request_2	1590716640225	1590716640230	OK	 
REQUEST	55		CreateRunway	1590716640214	1590716640232	OK	 
REQUEST	275		request_2 Redirect 1	1590716640230	1590716640236	OK	 
USER	AirlineCreateRunway	616	START	1590716640236	1590716640236
REQUEST	616		Home	1590716640236	1590716640242	OK	 
REQUEST	496		LoginAirline	1590716640257	1590716640260	OK	 
REQUEST	276		request_2	1590716640268	1590716640272	OK	 
REQUEST	276		request_2 Redirect 1	1590716640273	1590716640277	OK	 
REQUEST	56		CreateRunway	1590716640268	1590716640283	OK	 
USER	AirlineCreateRunway	617	START	1590716640289	1590716640289
REQUEST	617		Home	1590716640290	1590716640296	OK	 
REQUEST	497		LoginAirline	1590716640315	1590716640318	OK	 
REQUEST	277		request_2	1590716640315	1590716640320	OK	 
REQUEST	277		request_2 Redirect 1	1590716640320	1590716640326	OK	 
REQUEST	57		CreateRunway	1590716640315	1590716640332	OK	 
USER	AirlineCreateRunway	618	START	1590716640337	1590716640337
REQUEST	618		Home	1590716640337	1590716640342	OK	 
REQUEST	498		LoginAirline	1590716640359	1590716640361	OK	 
REQUEST	278		request_2	1590716640370	1590716640374	OK	 
REQUEST	278		request_2 Redirect 1	1590716640375	1590716640381	OK	 
USER	AirlineCreateRunway	619	START	1590716640385	1590716640385
REQUEST	58		CreateRunway	1590716640370	1590716640386	OK	 
REQUEST	619		Home	1590716640385	1590716640392	OK	 
REQUEST	499		LoginAirline	1590716640405	1590716640408	OK	 
REQUEST	279		request_2	1590716640417	1590716640421	OK	 
REQUEST	279		request_2 Redirect 1	1590716640422	1590716640426	OK	 
REQUEST	59		CreateRunway	1590716640417	1590716640433	OK	 
USER	AirlineCreateRunway	620	START	1590716640438	1590716640438
REQUEST	620		Home	1590716640439	1590716640445	OK	 
REQUEST	500		LoginAirline	1590716640454	1590716640457	OK	 
REQUEST	280		request_2	1590716640464	1590716640469	OK	 
REQUEST	280		request_2 Redirect 1	1590716640469	1590716640474	OK	 
USER	AirlineCreateRunway	621	START	1590716640486	1590716640486
REQUEST	60		CreateRunway	1590716640475	1590716640493	OK	 
REQUEST	621		Home	1590716640487	1590716640495	OK	 
REQUEST	501		LoginAirline	1590716640519	1590716640522	OK	 
REQUEST	281		request_2	1590716640519	1590716640525	OK	 
REQUEST	281		request_2 Redirect 1	1590716640525	1590716640529	OK	 
USER	AirlineCreateRunway	622	START	1590716640534	1590716640534
REQUEST	622		Home	1590716640535	1590716640542	OK	 
REQUEST	61		CreateRunway	1590716640524	1590716640542	OK	 
REQUEST	502		LoginAirline	1590716640544	1590716640547	OK	 
REQUEST	282		request_2	1590716640555	1590716640560	OK	 
REQUEST	282		request_2 Redirect 1	1590716640560	1590716640564	OK	 
REQUEST	62		CreateRunway	1590716640555	1590716640570	OK	 
USER	AirlineCreateRunway	623	START	1590716640587	1590716640587
REQUEST	623		Home	1590716640587	1590716640595	OK	 
REQUEST	503		LoginAirline	1590716640598	1590716640601	OK	 
REQUEST	283		request_2	1590716640619	1590716640624	OK	 
REQUEST	283		request_2 Redirect 1	1590716640624	1590716640628	OK	 
USER	AirlineCreateRunway	624	START	1590716640634	1590716640634
REQUEST	63		CreateRunway	1590716640619	1590716640634	OK	 
REQUEST	624		Home	1590716640634	1590716640639	OK	 
REQUEST	504		LoginAirline	1590716640644	1590716640646	OK	 
REQUEST	284		request_2	1590716640655	1590716640659	OK	 
REQUEST	284		request_2 Redirect 1	1590716640660	1590716640664	OK	 
REQUEST	64		CreateRunway	1590716640655	1590716640671	OK	 
USER	AirlineCreateRunway	625	START	1590716640687	1590716640687
REQUEST	625		Home	1590716640687	1590716640692	OK	 
REQUEST	505		LoginAirline	1590716640698	1590716640700	OK	 
REQUEST	285		request_2	1590716640720	1590716640724	OK	 
REQUEST	285		request_2 Redirect 1	1590716640724	1590716640730	OK	 
USER	AirlineCreateRunway	626	START	1590716640734	1590716640734
REQUEST	65		CreateRunway	1590716640720	1590716640736	OK	 
REQUEST	626		Home	1590716640735	1590716640740	OK	 
REQUEST	506		LoginAirline	1590716640745	1590716640747	OK	 
REQUEST	286		request_2	1590716640767	1590716640771	OK	 
REQUEST	286		request_2 Redirect 1	1590716640771	1590716640776	OK	 
USER	AirlineCreateRunway	627	START	1590716640787	1590716640787
REQUEST	627		Home	1590716640788	1590716640794	OK	 
REQUEST	507		LoginAirline	1590716640798	1590716640801	OK	 
REQUEST	66		CreateRunway	1590716640788	1590716640804	OK	 
REQUEST	287		request_2	1590716640819	1590716640824	OK	 
REQUEST	287		request_2 Redirect 1	1590716640824	1590716640829	OK	 
USER	AirlineCreateRunway	628	START	1590716640834	1590716640834
REQUEST	67		CreateRunway	1590716640819	1590716640836	OK	 
REQUEST	628		Home	1590716640835	1590716640840	OK	 
REQUEST	508		LoginAirline	1590716640855	1590716640858	OK	 
REQUEST	288		request_2	1590716640866	1590716640870	OK	 
REQUEST	288		request_2 Redirect 1	1590716640870	1590716640874	OK	 
USER	AirlineCreateRunway	629	START	1590716640888	1590716640888
REQUEST	68		CreateRunway	1590716640877	1590716640894	OK	 
REQUEST	629		Home	1590716640888	1590716640895	OK	 
REQUEST	509		LoginAirline	1590716640899	1590716640902	OK	 
REQUEST	289		request_2	1590716640915	1590716640920	OK	 
REQUEST	69		CreateRunway	1590716640904	1590716640922	OK	 
REQUEST	289		request_2 Redirect 1	1590716640920	1590716640925	OK	 
USER	AirlineCreateRunway	630	START	1590716640936	1590716640936
REQUEST	510		LoginAirline	1590716640936	1590716640940	OK	 
REQUEST	630		Home	1590716640936	1590716640943	OK	 
REQUEST	290		request_2	1590716640969	1590716640974	OK	 
REQUEST	290		request_2 Redirect 1	1590716640975	1590716640980	OK	 
USER	AirlineCreateRunway	631	START	1590716640984	1590716640984
REQUEST	70		CreateRunway	1590716640969	1590716640985	OK	 
REQUEST	631		Home	1590716640984	1590716640989	OK	 
REQUEST	511		LoginAirline	1590716640994	1590716640996	OK	 
REQUEST	291		request_2	1590716641016	1590716641021	OK	 
REQUEST	291		request_2 Redirect 1	1590716641021	1590716641028	OK	 
REQUEST	71		CreateRunway	1590716641016	1590716641035	OK	 
USER	AirlineCreateRunway	632	START	1590716641038	1590716641038
REQUEST	632		Home	1590716641038	1590716641043	OK	 
REQUEST	512		LoginAirline	1590716641049	1590716641051	OK	 
REQUEST	292		request_2	1590716641075	1590716641079	OK	 
REQUEST	72		CreateRunway	1590716641064	1590716641079	OK	 
REQUEST	292		request_2 Redirect 1	1590716641079	1590716641083	OK	 
USER	AirlineCreateRunway	633	START	1590716641085	1590716641085
REQUEST	633		Home	1590716641085	1590716641089	OK	 
REQUEST	513		LoginAirline	1590716641096	1590716641098	OK	 
REQUEST	293		request_2	1590716641128	1590716641132	OK	 
REQUEST	73		CreateRunway	1590716641117	1590716641134	OK	 
REQUEST	293		request_2 Redirect 1	1590716641133	1590716641138	OK	 
USER	AirlineCreateRunway	634	START	1590716641139	1590716641139
REQUEST	634		Home	1590716641139	1590716641144	OK	 
REQUEST	514		LoginAirline	1590716641149	1590716641151	OK	 
REQUEST	294		request_2	1590716641160	1590716641164	OK	 
REQUEST	294		request_2 Redirect 1	1590716641164	1590716641169	OK	 
REQUEST	74		CreateRunway	1590716641160	1590716641175	OK	 
USER	AirlineCreateRunway	635	START	1590716641184	1590716641184
REQUEST	635		Home	1590716641185	1590716641190	OK	 
REQUEST	515		LoginAirline	1590716641196	1590716641198	OK	 
REQUEST	295		request_2	1590716641217	1590716641222	OK	 
REQUEST	295		request_2 Redirect 1	1590716641222	1590716641227	OK	 
REQUEST	75		CreateRunway	1590716641217	1590716641233	OK	 
USER	AirlineCreateRunway	636	START	1590716641238	1590716641238
REQUEST	636		Home	1590716641239	1590716641243	OK	 
REQUEST	516		LoginAirline	1590716641249	1590716641252	OK	 
REQUEST	296		request_2	1590716641264	1590716641269	OK	 
REQUEST	76		CreateRunway	1590716641254	1590716641271	OK	 
REQUEST	296		request_2 Redirect 1	1590716641269	1590716641275	OK	 
USER	AirlineCreateRunway	637	START	1590716641286	1590716641286
REQUEST	637		Home	1590716641287	1590716641292	OK	 
REQUEST	517		LoginAirline	1590716641296	1590716641299	OK	 
REQUEST	297		request_2	1590716641318	1590716641323	OK	 
REQUEST	297		request_2 Redirect 1	1590716641323	1590716641327	OK	 
REQUEST	77		CreateRunway	1590716641318	1590716641333	OK	 
REQUEST	518		LoginAirline	1590716641344	1590716641347	OK	 
REQUEST	298		request_2	1590716641355	1590716641360	OK	 
REQUEST	298		request_2 Redirect 1	1590716641360	1590716641364	OK	 
REQUEST	78		CreateRunway	1590716641355	1590716641369	OK	 
REQUEST	519		LoginAirline	1590716641399	1590716641401	OK	 
USER	AirlineCreateRunway	639	START	1590716641388	1590716641388
USER	AirlineCreateRunway	638	START	1590716641334	1590716641334
REQUEST	638		Home	1590716641406	1590716641412	OK	 
REQUEST	639		Home	1590716641406	1590716641413	OK	 
REQUEST	299		request_2	1590716641414	1590716641419	OK	 
REQUEST	299		request_2 Redirect 1	1590716641419	1590716641424	OK	 
REQUEST	79		CreateRunway	1590716641414	1590716641432	OK	 
USER	AirlineCreateRunway	640	START	1590716641436	1590716641436
REQUEST	640		Home	1590716641436	1590716641445	OK	 
REQUEST	520		LoginAirline	1590716641447	1590716641452	OK	 
REQUEST	80		CreateRunway	1590716641454	1590716641468	OK	 
REQUEST	300		request_2	1590716641465	1590716641473	OK	 
REQUEST	300		request_2 Redirect 1	1590716641473	1590716641480	OK	 
REQUEST	521		LoginAirline	1590716641484	1590716641488	OK	 
USER	AirlineCreateRunway	641	START	1590716641486	1590716641486
REQUEST	641		Home	1590716641486	1590716641495	OK	 
USER	AirlineCreateRunway	642	START	1590716641526	1590716641526
REQUEST	301		request_2	1590716641527	1590716641532	OK	 
REQUEST	642		Home	1590716641527	1590716641533	OK	 
REQUEST	301		request_2 Redirect 1	1590716641533	1590716641537	OK	 
REQUEST	81		CreateRunway	1590716641549	1590716641560	OK	 
REQUEST	522		LoginAirline	1590716641560	1590716641563	OK	 
REQUEST	302		request_2	1590716641560	1590716641565	OK	 
REQUEST	302		request_2 Redirect 1	1590716641565	1590716641569	OK	 
USER	AirlineCreateRunway	643	START	1590716641574	1590716641574
REQUEST	82		CreateRunway	1590716641564	1590716641579	OK	 
REQUEST	643		Home	1590716641575	1590716641580	OK	 
REQUEST	523		LoginAirline	1590716641607	1590716641610	OK	 
REQUEST	303		request_2	1590716641607	1590716641612	OK	 
REQUEST	303		request_2 Redirect 1	1590716641612	1590716641616	OK	 
USER	AirlineCreateRunway	644	START	1590716641629	1590716641629
REQUEST	644		Home	1590716641629	1590716641636	OK	 
REQUEST	83		CreateRunway	1590716641629	1590716641643	OK	 
REQUEST	524		LoginAirline	1590716641655	1590716641659	OK	 
REQUEST	304		request_2	1590716641655	1590716641661	OK	 
REQUEST	304		request_2 Redirect 1	1590716641662	1590716641665	OK	 
USER	AirlineCreateRunway	645	START	1590716641680	1590716641680
REQUEST	645		Home	1590716641680	1590716641687	OK	 
REQUEST	84		CreateRunway	1590716641680	1590716641698	OK	 
REQUEST	525		LoginAirline	1590716641705	1590716641709	OK	 
REQUEST	305		request_2	1590716641705	1590716641710	OK	 
USER	AirlineCreateRunway	646	START	1590716641727	1590716641727
REQUEST	85		CreateRunway	1590716641716	1590716641730	OK	 
REQUEST	305		request_2 Redirect 1	1590716641711	1590716641733	OK	 
REQUEST	646		Home	1590716641727	1590716641734	OK	 
REQUEST	526		LoginAirline	1590716641754	1590716641757	OK	 
REQUEST	306		request_2	1590716641754	1590716641758	OK	 
REQUEST	306		request_2 Redirect 1	1590716641759	1590716641762	OK	 
USER	AirlineCreateRunway	647	START	1590716641776	1590716641776
REQUEST	647		Home	1590716641776	1590716641783	OK	 
REQUEST	86		CreateRunway	1590716641776	1590716641797	OK	 
REQUEST	527		LoginAirline	1590716641808	1590716641811	OK	 
REQUEST	307		request_2	1590716641808	1590716641813	OK	 
REQUEST	307		request_2 Redirect 1	1590716641813	1590716641816	OK	 
USER	AirlineCreateRunway	648	START	1590716641830	1590716641830
REQUEST	87		CreateRunway	1590716641819	1590716641835	OK	 
REQUEST	648		Home	1590716641830	1590716641836	OK	 
REQUEST	528		LoginAirline	1590716641855	1590716641857	OK	 
REQUEST	308		request_2	1590716641866	1590716641870	OK	 
REQUEST	308		request_2 Redirect 1	1590716641871	1590716641878	OK	 
USER	AirlineCreateRunway	649	START	1590716641881	1590716641881
REQUEST	88		CreateRunway	1590716641866	1590716641884	OK	 
REQUEST	649		Home	1590716641881	1590716641887	OK	 
REQUEST	529		LoginAirline	1590716641906	1590716641908	OK	 
REQUEST	309		request_2	1590716641917	1590716641921	OK	 
REQUEST	309		request_2 Redirect 1	1590716641922	1590716641928	OK	 
USER	AirlineCreateRunway	650	START	1590716641927	1590716641927
REQUEST	89		CreateRunway	1590716641917	1590716641935	OK	 
REQUEST	650		Home	1590716641928	1590716641936	OK	 
REQUEST	530		LoginAirline	1590716641956	1590716641959	OK	 
