ASSERTION	AAEDAAEBAwAAAAAAAEB/QA==
ASSERTION	AAEDAAECAwAAAAAAAEB/QA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.AerolineaCreaAvionCSV	aerolineacreaavioncsv	1590711334090	 	3.3.1
REQUEST	54		AirlineLogin	1590711342386	1590711342390	OK	 
USER	Airlines	55	START	1590711342485	1590711342485
REQUEST	55		AirlineLogin	1590711342486	1590711342490	OK	 
USER	Airlines	56	START	1590711342586	1590711342586
REQUEST	56		AirlineLogin	1590711342586	1590711342590	OK	 
USER	Airlines	57	START	1590711342686	1590711342686
REQUEST	57		AirlineLogin	1590711342687	1590711342691	OK	 
USER	Airlines	58	START	1590711342786	1590711342786
REQUEST	58		AirlineLogin	1590711342787	1590711342792	OK	 
USER	Airlines	59	START	1590711342889	1590711342889
REQUEST	59		AirlineLogin	1590711342890	1590711342894	OK	 
USER	Airlines	60	START	1590711342989	1590711342989
REQUEST	60		AirlineLogin	1590711342990	1590711342994	OK	 
USER	Airlines	61	START	1590711343088	1590711343088
REQUEST	61		AirlineLogin	1590711343089	1590711343096	OK	 
USER	Airlines	62	START	1590711343190	1590711343190
REQUEST	62		AirlineLogin	1590711343190	1590711343194	OK	 
USER	Airlines	63	START	1590711343291	1590711343291
REQUEST	63		AirlineLogin	1590711343292	1590711343297	OK	 
USER	Airlines	64	START	1590711343386	1590711343386
REQUEST	64		AirlineLogin	1590711343386	1590711343391	OK	 
USER	Airlines	65	START	1590711343491	1590711343491
REQUEST	65		AirlineLogin	1590711343492	1590711343496	OK	 
USER	Airlines	66	START	1590711343586	1590711343586
REQUEST	66		AirlineLogin	1590711343586	1590711343590	OK	 
USER	Airlines	67	START	1590711343686	1590711343686
REQUEST	67		AirlineLogin	1590711343686	1590711343690	OK	 
USER	Airlines	68	START	1590711343791	1590711343791
REQUEST	68		AirlineLogin	1590711343791	1590711343796	OK	 
USER	Airlines	69	START	1590711343886	1590711343886
REQUEST	69		AirlineLogin	1590711343886	1590711343890	OK	 
USER	Airlines	70	START	1590711343987	1590711343987
REQUEST	70		AirlineLogin	1590711343987	1590711343992	OK	 
USER	Airlines	71	START	1590711344086	1590711344086
REQUEST	71		AirlineLogin	1590711344087	1590711344091	OK	 
USER	Airlines	72	START	1590711344186	1590711344186
REQUEST	72		AirlineLogin	1590711344186	1590711344190	OK	 
USER	Airlines	73	START	1590711344290	1590711344290
REQUEST	73		AirlineLogin	1590711344291	1590711344295	OK	 
USER	Airlines	74	START	1590711344389	1590711344389
REQUEST	74		AirlineLogin	1590711344390	1590711344394	OK	 
USER	Airlines	75	START	1590711344489	1590711344489
REQUEST	75		AirlineLogin	1590711344490	1590711344494	OK	 
USER	Airlines	76	START	1590711344589	1590711344589
REQUEST	76		AirlineLogin	1590711344590	1590711344594	OK	 
USER	Airlines	77	START	1590711344689	1590711344689
REQUEST	77		AirlineLogin	1590711344689	1590711344695	OK	 
USER	Airlines	78	START	1590711344791	1590711344791
REQUEST	78		AirlineLogin	1590711344791	1590711344796	OK	 
USER	Airlines	79	START	1590711344886	1590711344886
REQUEST	79		AirlineLogin	1590711344886	1590711344890	OK	 
USER	Airlines	80	START	1590711344987	1590711344987
REQUEST	80		AirlineLogin	1590711344987	1590711344992	OK	 
USER	Airlines	81	START	1590711345089	1590711345089
REQUEST	81		AirlineLogin	1590711345090	1590711345093	OK	 
USER	Airlines	82	START	1590711345188	1590711345188
REQUEST	82		AirlineLogin	1590711345188	1590711345192	OK	 
USER	Airlines	83	START	1590711345287	1590711345287
REQUEST	83		AirlineLogin	1590711345288	1590711345292	OK	 
USER	Airlines	84	START	1590711345387	1590711345387
REQUEST	84		AirlineLogin	1590711345388	1590711345392	OK	 
USER	Airlines	85	START	1590711345487	1590711345487
REQUEST	85		AirlineLogin	1590711345487	1590711345492	OK	 
USER	Airlines	86	START	1590711345588	1590711345588
REQUEST	86		AirlineLogin	1590711345589	1590711345593	OK	 
USER	Airlines	87	START	1590711345686	1590711345686
REQUEST	87		AirlineLogin	1590711345686	1590711345690	OK	 
USER	Airlines	88	START	1590711345790	1590711345790
REQUEST	88		AirlineLogin	1590711345791	1590711345796	OK	 
USER	Airlines	89	START	1590711345889	1590711345889
REQUEST	89		AirlineLogin	1590711345890	1590711345894	OK	 
USER	Airlines	90	START	1590711345989	1590711345989
REQUEST	90		AirlineLogin	1590711345990	1590711345995	OK	 
USER	Airlines	91	START	1590711346089	1590711346089
REQUEST	91		AirlineLogin	1590711346090	1590711346094	OK	 
USER	Airlines	92	START	1590711346188	1590711346188
REQUEST	92		AirlineLogin	1590711346189	1590711346193	OK	 
USER	Airlines	93	START	1590711346287	1590711346287
REQUEST	93		AirlineLogin	1590711346287	1590711346291	OK	 
USER	Airlines	94	START	1590711346389	1590711346389
REQUEST	94		AirlineLogin	1590711346389	1590711346393	OK	 
USER	Airlines	95	START	1590711346489	1590711346489
REQUEST	95		AirlineLogin	1590711346490	1590711346494	OK	 
USER	Airlines	96	START	1590711346589	1590711346589
REQUEST	96		AirlineLogin	1590711346590	1590711346596	OK	 
USER	Airlines	97	START	1590711346690	1590711346690
REQUEST	97		AirlineLogin	1590711346690	1590711346695	OK	 
USER	Airlines	98	START	1590711346786	1590711346786
REQUEST	98		AirlineLogin	1590711346786	1590711346791	OK	 
USER	Airlines	99	START	1590711346886	1590711346886
REQUEST	99		AirlineLogin	1590711346886	1590711346890	OK	 
USER	Airlines	100	START	1590711346986	1590711346986
REQUEST	100		AirlineLogin	1590711346986	1590711346990	OK	 
USER	Airlines	101	START	1590711347087	1590711347087
REQUEST	101		AirlineLogin	1590711347088	1590711347092	OK	 
USER	Airlines	102	START	1590711347186	1590711347186
REQUEST	102		AirlineLogin	1590711347187	1590711347191	OK	 
USER	Airlines	103	START	1590711347286	1590711347286
REQUEST	103		AirlineLogin	1590711347287	1590711347291	OK	 
USER	Airlines	104	START	1590711347386	1590711347386
REQUEST	104		AirlineLogin	1590711347387	1590711347391	OK	 
USER	Airlines	105	START	1590711347486	1590711347486
REQUEST	105		AirlineLogin	1590711347487	1590711347491	OK	 
USER	Airlines	106	START	1590711347587	1590711347587
REQUEST	106		AirlineLogin	1590711347587	1590711347591	OK	 
USER	Airlines	107	START	1590711347687	1590711347687
REQUEST	107		AirlineLogin	1590711347688	1590711347692	OK	 
USER	Airlines	108	START	1590711347788	1590711347788
REQUEST	108		AirlineLogin	1590711347789	1590711347793	OK	 
USER	Airlines	109	START	1590711347890	1590711347890
REQUEST	109		AirlineLogin	1590711347891	1590711347895	OK	 
USER	Airlines	110	START	1590711347986	1590711347986
REQUEST	110		AirlineLogin	1590711347986	1590711347990	OK	 
USER	Airlines	111	START	1590711348086	1590711348086
REQUEST	111		AirlineLogin	1590711348087	1590711348091	OK	 
USER	Airlines	112	START	1590711348187	1590711348187
REQUEST	112		AirlineLogin	1590711348188	1590711348192	OK	 
